IdentificativiOfferta_PIVA_UTENTE;IdentificativiOfferta_COD_OFFERTA;DettaglioOfferta_TIPO_MERCATO;DettaglioOfferta_TIPO_CLIENTE;DettaglioOfferta_DOMESTICO_RESIDENTE;DettaglioOfferta_TIPO_OFFERTA;DettaglioOfferta_TIPOLOGIA_ATT_CONTR_0;DettaglioOfferta_TIPOLOGIA_ATT_CONTR_1;DettaglioOfferta_TIPOLOGIA_ATT_CONTR_2;DettaglioOfferta_NOME_OFFERTA;DettaglioOfferta_DESCRIZIONE;DettaglioOfferta_DURATA;DettaglioOfferta_GARANZIE;DettaglioOfferta_ModalitaAttivazione_MODALITA;DettaglioOfferta_Contatti_TELEFONO;DettaglioOfferta_Contatti_URL_SITO_VENDITORE;DettaglioOfferta_Contatti_URL_OFFERTA;ValiditaOfferta_DATA_INIZIO;ValiditaOfferta_DATA_FINE;OffertaDual_OFFERTE_CONGIUNTE_EE;OffertaDual_OFFERTE_CONGIUNTE_GAS;MetodoPagamento_0_MODALITA_PAGAMENTO;MetodoPagamento_1_MODALITA_PAGAMENTO;MetodoPagamento_2_MODALITA_PAGAMENTO;MetodoPagamento_3_MODALITA_PAGAMENTO;MetodoPagamento_3_DESCRIZIONE;CondizioniContrattuali_TIPOLOGIA_CONDIZIONE;CondizioniContrattuali_DESCRIZIONE;CondizioniContrattuali_LIMITANTE;Sconto_NOME;Sconto_DESCRIZIONE;Sconto_VALIDITA;Sconto_IVA_SCONTO;Sconto_Condizione_CONDIZIONE_APPLICAZIONE;Sconto_PrezziSconto_TIPOLOGIA;Sconto_PrezziSconto_UNITA_MISURA;Sconto_PrezziSconto_PREZZO;DettaglioOfferta_ModalitaAttivazione_MODALITA_0;DettaglioOfferta_ModalitaAttivazione_MODALITA_1;DettaglioOfferta_TIPOLOGIA_ATT_CONTR;DettaglioOfferta_ModalitaAttivazione_DESCRIZIONE;RiferimentiPrezzoEnergia_IDX_PREZZO_ENERGIA;CondizioniContrattuali_0_TIPOLOGIA_CONDIZIONE;CondizioniContrattuali_0_DESCRIZIONE;CondizioniContrattuali_0_LIMITANTE;CondizioniContrattuali_1_TIPOLOGIA_CONDIZIONE;CondizioniContrattuali_1_DESCRIZIONE;CondizioniContrattuali_1_LIMITANTE;CondizioniContrattuali_2_TIPOLOGIA_CONDIZIONE;CondizioniContrattuali_2_DESCRIZIONE;CondizioniContrattuali_2_LIMITANTE;CondizioniContrattuali_3_TIPOLOGIA_CONDIZIONE;CondizioniContrattuali_3_DESCRIZIONE;CondizioniContrattuali_3_LIMITANTE;DettaglioOfferta_OFFERTA_SINGOLA;MetodoPagamento_MODALITA_PAGAMENTO;CaratteristicheOfferta_CONSUMO_MIN;CaratteristicheOfferta_CONSUMO_MAX;TipoPrezzo_TIPOLOGIA_FASCE;Dispacciamento_TIPO_DISPACCIAMENTO;Dispacciamento_VALORE_DISP;Dispacciamento_NOME;CondizioniContrattuali_ALTRO;Sconto_TIPO_SCONTO;Sconto_Condizione_DESCRIZIONE_CONDIZIONE;Sconto_PrezziSconto_VALIDO_DA;Sconto_PrezziSconto_VALIDO_FINO;MetodoPagamento_2_DESCRIZIONE;ZoneOfferta_REGIONE_0;ZoneOfferta_REGIONE_1;ZoneOfferta_REGIONE_2;ZoneOfferta_REGIONE_3;ZoneOfferta_REGIONE_4;ZoneOfferta_REGIONE_5;ZoneOfferta_REGIONE_6;ZoneOfferta_REGIONE_7;ZoneOfferta_REGIONE_8;ZoneOfferta_REGIONE_9;ZoneOfferta_REGIONE_10;ZoneOfferta_REGIONE_11;ZoneOfferta_REGIONE_12;ZoneOfferta_REGIONE_13
03386091205;DUALECO121F202002;03;01;03;01;01;02;03;Accendi ECOLOGICA Luce e Gas 12 mesi Monoraria;L’offerta “Accendi ECOLOGICA Luce e Gas 12 mesi Monoraria” è dedicata al cliente finale domestico titolare di un Punto di Prelievo in bassa tensione per Uso Domestico e di un Punto di Riconsegna Gas per Uso Domestico. Questa offerta permette di avere l’opzione Energie Rinnovabili, senza alcun costo aggiuntivo per il cliente e permette di avere il prezzo della Luce e del Gas bloccato per 1 anno in fascia monoraria. L’opzione Energie Rinnovabili garantisce al Cliente che tutta l’energia dallo stesso consumata provenga da fonti rinnovabili. Il fornitore provvederà all’approvvigionamento e all’annullamento delle Garanzie di Origine per la certificazione dell’intero quantitativo di energia elettrica consumata annualmente dal Cliente in conformità alla delibera ARERA ARG/elt 104/11 s.s.m.i. garantendo la coerenza del contratto di fornitura con la regolazione definita dell’ARERA in materia. Questa offerta permette inoltre di avere il gas "verde 100% CO2 free" perché utilizza la Certificazione di Crediti di Carbonio di Carbonsink. Con questo sistema, le emissioni di carbonio legate alla produzione del gas vengono "compensate" finanziando programmi con un impatto positivo sull'ambiente e lo sviluppo sostenibile del pianeta.;12;Zero costi di attivazione e recesso. Zero costi spedizione bolletta. Nessuna garanzia di pagamento se sei Socio Coop Alleanza 3.0 e/o Unicoop Tirreno e/o Coop Reno. Se non sei Socio Coop Alleanza 3.0 o Unicoop Tirreno o Coop Reno ci saranno 25€ di garanzia di pagamento.;02;800208468;https://www.accendilucegas.it;https://attiva.accendilucegas.it/?prd=ecologica-luce-gas-12-mesi-mono;01/02/2020_00:00:00;29/02/2020_23:59:59;EEECO121F202002;GMECO12202002;01;02;04;99;Cessione del credito;01;Il Fornitore erogherà al Cliente l’energia elettrica o il gas naturale, secondo quanto indicato nella Proposta sottoscritta, presso i punti di riconsegna e di prelievo nei limiti di potenza, pressione e capacità degli impianti e delle reti di distribuzione cui essi sono allacciati, indicati dal Cliente nella Proposta, fermo restando che in caso di discordanza tra i codici o gli altri dati indicati dal Cliente e quelli risultanti al Distributore locale, prevarranno questi ultimi. Qualora a seguito delle verifiche tecniche effettuate con il Distributore successivamente alla conclusione del contratto, risulti che una oppure entrambe le due forniture di energia elettrica o di gas naturale non siano intestate al Cliente firmatario della Proposta, le presenti condizioni generali di fornitura saranno comunque ritenute valide per la sola fornitura intestata correttamente al Cliente per cui si potrà procedere all’attivazione, con l’applicazione a carico del medesimo di un costo di gestione (denominato “Costo di gestione luce” oppure “Costo di gestione gas” , in relazione alla fornitura che si potrà attivare), come indicato nell’Allegato B - Condizioni Tecniche Economiche per la fornitura di energia elettrica e gas naturale. Qualora venga richiesta la voltura di una delle due forniture intestate al Cliente firmatario della presente Proposta a favore di un altro soggetto, le presenti condizioni generali di fornitura saranno comunque ritenute valide, per la sola Fornitura per la quale non è stata richiesta la voltura dal Cliente firmatario della Proposta, con l’applicazione a carico del Cliente di un costo di gestione (denominato “Costo di gestione luce” oppure “Costo di gestione gas”, in relazione alla fornitura che si potrà attivare), come indicato nell’Allegato B - Condizioni Tecniche Economiche per la fornitura di energia elettrica e gas naturale. L’esecuzione del Contratto resta subordinata al collegamento dei POD/PdR indicati nella Richiesta di Attivazione alle reti di distribuzione locale, all’attivazione dei servizi di trasporto e dispacciamento, nel caso di fornitura di energia elettrica e all’attivazione del servizio di distribuzione, nel caso di fornitura di gas.  L’esecuzione del Contratto da parte del Fornitore potrà essere sottoposta alla condizione risolutiva per sospensione o disattivazione per morosità del/i POD o PdR oggetto di richiesta di switching o per morosità precedenti verso altri Fornitori o il Fornitore stesso. Per tutti i dettagli si prega di consultare la documentazione contrattuale disponibile sul sito o prima della sottoscrizione dell’offerta.;02;Sconto costi di gestione;Sconto sui costi di gestione dovuti alla stipula di un contratto Dual;02;01;00;01;01;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03386091205;DUALECO241F202002;03;01;03;01;01;02;03;Accendi ECOLOGICA Luce e Gas 24 mesi Monoraria;L’offerta “Accendi ECOLOGICA Luce e Gas 24 mesi Monoraria” è dedicata al cliente finale domestico titolare di un Punto di Prelievo in bassa tensione per Uso Domestico e di un Punto di Riconsegna Gas per Uso Domestico. Questa offerta permette di avere l’opzione Energie Rinnovabili, senza alcun costo aggiuntivo per il cliente e permette di avere il prezzo della Luce e del Gas bloccato per 2 anni in fascia monoraria. L’opzione Energie Rinnovabili garantisce al Cliente che tutta l’energia dallo stesso consumata provenga da fonti rinnovabili. Il fornitore provvederà all’approvvigionamento e all’annullamento delle Garanzie di Origine per la certificazione dell’intero quantitativo di energia elettrica consumata annualmente dal Cliente in conformità alla delibera ARERA ARG/elt 104/11 s.s.m.i. garantendo la coerenza del contratto di fornitura con la regolazione definita dell’ARERA in materia. Questa offerta permette inoltre di avere il gas "verde 100% CO2 free" perché utilizza la Certificazione di Crediti di Carbonio di Carbonsink. Con questo sistema, le emissioni di carbonio legate alla produzione del gas vengono "compensate" finanziando programmi con un impatto positivo sull'ambiente e lo sviluppo sostenibile del pianeta.;24;Zero costi di attivazione e recesso. Zero costi spedizione bolletta. Nessuna garanzia di pagamento se sei Socio Coop Alleanza 3.0 e/o Unicoop Tirreno e/o Coop Reno. Se non sei Socio Coop Alleanza 3.0 o Unicoop Tirreno o Coop Reno ci saranno 25€ di garanzia di pagamento.;02;800208468;https://www.accendilucegas.it;https://attiva.accendilucegas.it/?prd=ecologica-luce-gas-24-mesi-mono;01/02/2020_00:00:00;29/02/2020_23:59:59;EEECO241F202002;GMECO24202002;01;02;04;99;Cessione del credito;04;Tale offerta è da considerarsi pluriennale in considerazione del fatto che i prezzi applicati come riportati nelle CTE hanno validità di 24 mesi salvo recesso. Per tutti i dettagli si prega di consultare la documentazione contrattuale disponibile sul sito o prima della sottoscrizione dell’offerta;02;Sconto costi di gestione;Sconto sui costi di gestione dovuti alla stipula di un contratto Dual;02;01;00;01;01;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03386091205;DUALFIX1F202002;03;01;03;01;01;02;03;Accendi CASA Luce e Gas 12 mesi Monoraria;L’offerta “Accendi CASA Luce e Gas 12 mesi Monoraria” è dedicata al Cliente finale domestico titolare di un Punto di Prelievo in bassa tensione per Uso Domestico e di un Punto di Riconsegna Gas per Uso Domestico;12;Zero costi di attivazione e recesso. Zero costi spedizione bolletta. Nessuna garanzia di pagamento se sei Socio Coop Alleanza 3.0 e/o Unicoop Tirreno e/o Coop Reno. Se non sei Socio Coop Alleanza 3.0 o Unicoop Tirreno o Coop Reno ci saranno 25€ di garanzia di pagamento.;;800208468;https://www.accendilucegas.it;https://www.accendilucegas.it/offerta/casa-online-luce-gas-12-mesi-monoraria/;01/02/2020_00:00:00;29/02/2020_23:59:59;EEFIX1F202002;GMFIX202002;01;02;04;99;Cessione del credito;01;Il Fornitore erogherà al Cliente l’energia elettrica o il gas naturale, secondo quanto indicato nella Proposta sottoscritta, presso i punti di riconsegna e di prelievo nei limiti di potenza, pressione e capacità degli impianti e delle reti di distribuzione cui essi sono allacciati, indicati dal Cliente nella Proposta, fermo restando che in caso di discordanza tra i codici o gli altri dati indicati dal Cliente e quelli risultanti al Distributore locale, prevarranno questi ultimi. Qualora a seguito delle verifiche tecniche effettuate con il Distributore successivamente alla conclusione del contratto, risulti che una oppure entrambe le due forniture di energia elettrica o di gas naturale non siano intestate al Cliente firmatario della Proposta, le presenti condizioni generali di fornitura saranno comunque ritenute valide per la sola fornitura intestata correttamente al Cliente per cui si potrà procedere all’attivazione, con l’applicazione a carico del medesimo di un costo di gestione (denominato “Costo di gestione luce” oppure “Costo di gestione gas” , in relazione alla fornitura che si potrà attivare), come indicato nell’Allegato B - Condizioni Tecniche Economiche per la fornitura di energia elettrica e gas naturale. Qualora venga richiesta la voltura di una delle due forniture intestate al Cliente firmatario della presente Proposta a favore di un altro soggetto, le presenti condizioni generali di fornitura saranno comunque ritenute valide, per la sola Fornitura per la quale non è stata richiesta la voltura dal Cliente firmatario della Proposta, con l’applicazione a carico del Cliente di un costo di gestione (denominato “Costo di gestione luce” oppure “Costo di gestione gas”, in relazione alla fornitura che si potrà attivare), come indicato nell’Allegato B - Condizioni Tecniche Economiche per la fornitura di energia elettrica e gas naturale. L’esecuzione del Contratto resta subordinata al collegamento dei POD/PdR indicati nella Richiesta di Attivazione alle reti di distribuzione locale, all’attivazione dei servizi di trasporto e dispacciamento, nel caso di fornitura di energia elettrica e all’attivazione del servizio di distribuzione, nel caso di fornitura di gas.  L’esecuzione del Contratto da parte del Fornitore potrà essere sottoposta alla condizione risolutiva per sospensione o disattivazione per morosità del/i POD o PdR oggetto di richiesta di switching o per morosità precedenti verso altri Fornitori o il Fornitore stesso. Per tutti i dettagli si prega di consultare la documentazione contrattuale disponibile sul sito o prima della sottoscrizione dell’offerta.;02;Sconto costi di gestione;Sconto sui costi di gestione dovuti alla stipula di un contratto Dual;02;01;00;01;01;24;03;04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03386091205;DUALECO122F202002;03;01;03;01;01;02;03;Accendi ECOLOGICA Luce e Gas 12 mesi Bioraria;L’offerta “Accendi ECOLOGICA Luce e Gas 12 mesi Bioraria” è dedicata al cliente finale domestico titolare di un Punto di Prelievo in bassa tensione per Uso Domestico e di un Punto di Riconsegna Gas per Uso Domestico. Questa offerta permette di avere l’opzione Energie Rinnovabili, senza alcun costo aggiuntivo per il cliente e permette di avere il prezzo della Luce e del Gas bloccato per 1 anno in fascia bioraria. L’opzione Energie Rinnovabili garantisce al Cliente che tutta l’energia dallo stesso consumata provenga da fonti rinnovabili. Il fornitore provvederà all’approvvigionamento e all’annullamento delle Garanzie di Origine per la certificazione dell’intero quantitativo di energia elettrica consumata annualmente dal Cliente in conformità alla delibera ARERA ARG/elt 104/11 s.s.m.i. garantendo la coerenza del contratto di fornitura con la regolazione definita dell’ARERA in materia. Questa offerta permette inoltre di avere il gas "verde 100% CO2 free" perché utilizza la Certificazione di Crediti di Carbonio di Carbonsink. Con questo sistema, le emissioni di carbonio legate alla produzione del gas vengono "compensate" finanziando programmi con un impatto positivo sull'ambiente e lo sviluppo sostenibile del pianeta.;12;Zero costi di attivazione e recesso. Zero costi spedizione bolletta. Nessuna garanzia di pagamento se sei Socio Coop Alleanza 3.0 e/o Unicoop Tirreno e/o Coop Reno. Se non sei Socio Coop Alleanza 3.0 o Unicoop Tirreno o Coop Reno ci saranno 25€ di garanzia di pagamento.;02;800208468;https://www.accendilucegas.it;https://attiva.accendilucegas.it/?prd=ecologica-luce-gas-12-mesi-bi;01/02/2020_00:00:00;29/02/2020_23:59:59;EEECO122F202002;GMECO12202002;01;02;04;99;Cessione del credito;01;Il Fornitore erogherà al Cliente l’energia elettrica o il gas naturale, secondo quanto indicato nella Proposta sottoscritta, presso i punti di riconsegna e di prelievo nei limiti di potenza, pressione e capacità degli impianti e delle reti di distribuzione cui essi sono allacciati, indicati dal Cliente nella Proposta, fermo restando che in caso di discordanza tra i codici o gli altri dati indicati dal Cliente e quelli risultanti al Distributore locale, prevarranno questi ultimi. Qualora a seguito delle verifiche tecniche effettuate con il Distributore successivamente alla conclusione del contratto, risulti che una oppure entrambe le due forniture di energia elettrica o di gas naturale non siano intestate al Cliente firmatario della Proposta, le presenti condizioni generali di fornitura saranno comunque ritenute valide per la sola fornitura intestata correttamente al Cliente per cui si potrà procedere all’attivazione, con l’applicazione a carico del medesimo di un costo di gestione (denominato “Costo di gestione luce” oppure “Costo di gestione gas” , in relazione alla fornitura che si potrà attivare), come indicato nell’Allegato B - Condizioni Tecniche Economiche per la fornitura di energia elettrica e gas naturale. Qualora venga richiesta la voltura di una delle due forniture intestate al Cliente firmatario della presente Proposta a favore di un altro soggetto, le presenti condizioni generali di fornitura saranno comunque ritenute valide, per la sola Fornitura per la quale non è stata richiesta la voltura dal Cliente firmatario della Proposta, con l’applicazione a carico del Cliente di un costo di gestione (denominato “Costo di gestione luce” oppure “Costo di gestione gas”, in relazione alla fornitura che si potrà attivare), come indicato nell’Allegato B - Condizioni Tecniche Economiche per la fornitura di energia elettrica e gas naturale. L’esecuzione del Contratto resta subordinata al collegamento dei POD/PdR indicati nella Richiesta di Attivazione alle reti di distribuzione locale, all’attivazione dei servizi di trasporto e dispacciamento, nel caso di fornitura di energia elettrica e all’attivazione del servizio di distribuzione, nel caso di fornitura di gas.  L’esecuzione del Contratto da parte del Fornitore potrà essere sottoposta alla condizione risolutiva per sospensione o disattivazione per morosità del/i POD o PdR oggetto di richiesta di switching o per morosità precedenti verso altri Fornitori o il Fornitore stesso. Per tutti i dettagli si prega di consultare la documentazione contrattuale disponibile sul sito o prima della sottoscrizione dell’offerta.;02;Sconto costi di gestione;Sconto sui costi di gestione dovuti alla stipula di un contratto Dual;02;01;00;01;01;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03386091205;DUALF24M2F202002RISP;03;01;03;01;;;;Accendi CASA Luce e Gas 24 mesi bioraria promo Risparmia;L’offerta “Accendi CASA Luce e Gas 24 mesi Bioraria" è dedicata al Cliente finale domestico titolare di un Punto di Prelievo in bassa tensione per Uso Domestico e di un Punto di Riconsegna Gas per Uso Domestico. Questa offerta consente di avere il prezzo della Luce bloccato per 24 mesi in fascia bioraria. Nel corso della durata del contratto si può contare su un prezzo della materia prima che non cambierà anche quando cambierà il costo dell’energia.;24;Zero costi di attivazione e recesso. Zero costi spedizione bolletta. Nessuna garanzia di pagamento se sei Socio Coop Alleanza 3.0 e/o Unicoop Tirreno e/o Coop Reno. Se non sei Socio Coop Alleanza 3.0 o Unicoop Tirreno o Coop Reno ti saranno addebitati 25€ di garanzia di pagamento.;01;800208468;https://www.accendilucegas.it;https://attiva.accendilucegas.it/onb/casa-luce-gas-24-mesi-bi/portaleofferte/risparmia;01/02/2020_00:00:00;29/02/2020_23:59:59;EEF24M2F202002RISP;GMF24M202002;01;02;04;99;Cessione del credito;04;Tale offerta è da considerarsi pluriennale in considerazione del fatto che i prezzi applicati come riportati nelle CTE hanno validità di 24 mesi salvo recesso. Per tutti i dettagli si prega di consultare la documentazione contrattuale disponibile sul sito o prima della sottoscrizione dell’offerta;02;Sconto costi di gestione;Sconto sui costi di gestione dovuti alla stipula di un contratto Dual;03;01;00;01;01;24;;;01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03386091205;DUALECO242F202002;03;01;03;01;01;02;03;Accendi ECOLOGICA Luce e Gas 24 mesi Bioraria;L’offerta “Accendi ECOLOGICA Luce e Gas 24 mesi Bioraria” è dedicata al cliente finale domestico titolare di un Punto di Prelievo in bassa tensione per Uso Domestico e di un Punto di Riconsegna Gas per Uso Domestico. Questa offerta permette di avere l’opzione Energie Rinnovabili, senza alcun costo aggiuntivo per il cliente e permette di avere il prezzo della Luce e del Gas bloccato per 2 anni in fascia bioraria. L’opzione Energie Rinnovabili garantisce al Cliente che tutta l’energia dallo stesso consumata provenga da fonti rinnovabili. Il fornitore provvederà all’approvvigionamento e all’annullamento delle Garanzie di Origine per la certificazione dell’intero quantitativo di energia elettrica consumata annualmente dal Cliente in conformità alla delibera ARERA ARG/elt 104/11 s.s.m.i. garantendo la coerenza del contratto di fornitura con la regolazione definita dell’ARERA in materia. Questa offerta permette inoltre di avere il gas "verde 100% CO2 free" perché utilizza la Certificazione di Crediti di Carbonio di Carbonsink. Con questo sistema, le emissioni di carbonio legate alla produzione del gas vengono "compensate" finanziando programmi con un impatto positivo sull'ambiente e lo sviluppo sostenibile del pianeta.;24;Zero costi di attivazione e recesso. Zero costi spedizione bolletta. Nessuna garanzia di pagamento se sei Socio Coop Alleanza 3.0 e/o Unicoop Tirreno e/o Coop Reno. Se non sei Socio Coop Alleanza 3.0 o Unicoop Tirreno o Coop Reno ci saranno 25€ di garanzia di pagamento.;02;800208468;https://www.accendilucegas.it;https://attiva.accendilucegas.it/?prd=ecologica-luce-gas-24-mesi-bi;01/02/2020_00:00:00;29/02/2020_23:59:59;EEECO242F202002;GMECO24202002;01;02;04;99;Cessione del credito;04;Tale offerta è da considerarsi pluriennale in considerazione del fatto che i prezzi applicati come riportati nelle CTE hanno validità di 24 mesi salvo recesso. Per tutti i dettagli si prega di consultare la documentazione contrattuale disponibile sul sito o prima della sottoscrizione dell’offerta;02;Sconto costi di gestione;Sconto sui costi di gestione dovuti alla stipula di un contratto Dual;02;01;00;01;01;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03386091205;DUALFIX2F202002;03;01;03;01;01;02;03;Accendi CASA Luce e Gas 12 mesi Bioraria;L’offerta “Accendi CASA Luce e Gas 12 mesi Bioraria” è dedicata al Cliente finale domestico titolare di un Punto di Prelievo in bassa tensione per Uso Domestico e di un Punto di Riconsegna Gas per Uso Domestico;12;Zero costi di attivazione e recesso. Zero costi spedizione bolletta. Nessuna garanzia di pagamento se sei Socio Coop Alleanza 3.0 e/o Unicoop Tirreno e/o Coop Reno. Se non sei Socio Coop Alleanza 3.0 o Unicoop Tirreno o Coop Reno ci saranno 25€ di garanzia di pagamento.;;800208468;https://www.accendilucegas.it;https://www.accendilucegas.it/offerta/casa-online-luce-gas-12-mesi-bioraria/;01/02/2020_00:00:00;29/02/2020_23:59:59;EEFIX2F202002;GMFIX202002;01;02;04;99;Cessione del credito;01;Il Fornitore erogherà al Cliente l’energia elettrica o il gas naturale, secondo quanto indicato nella Proposta sottoscritta, presso i punti di riconsegna e di prelievo nei limiti di potenza, pressione e capacità degli impianti e delle reti di distribuzione cui essi sono allacciati, indicati dal Cliente nella Proposta, fermo restando che in caso di discordanza tra i codici o gli altri dati indicati dal Cliente e quelli risultanti al Distributore locale, prevarranno questi ultimi. Qualora a seguito delle verifiche tecniche effettuate con il Distributore successivamente alla conclusione del contratto, risulti che una oppure entrambe le due forniture di energia elettrica o di gas naturale non siano intestate al Cliente firmatario della Proposta, le presenti condizioni generali di fornitura saranno comunque ritenute valide per la sola fornitura intestata correttamente al Cliente per cui si potrà procedere all’attivazione, con l’applicazione a carico del medesimo di un costo di gestione (denominato “Costo di gestione luce” oppure “Costo di gestione gas” , in relazione alla fornitura che si potrà attivare), come indicato nell’Allegato B - Condizioni Tecniche Economiche per la fornitura di energia elettrica e gas naturale. Qualora venga richiesta la voltura di una delle due forniture intestate al Cliente firmatario della presente Proposta a favore di un altro soggetto, le presenti condizioni generali di fornitura saranno comunque ritenute valide, per la sola Fornitura per la quale non è stata richiesta la voltura dal Cliente firmatario della Proposta, con l’applicazione a carico del Cliente di un costo di gestione (denominato “Costo di gestione luce” oppure “Costo di gestione gas”, in relazione alla fornitura che si potrà attivare), come indicato nell’Allegato B - Condizioni Tecniche Economiche per la fornitura di energia elettrica e gas naturale. L’esecuzione del Contratto resta subordinata al collegamento dei POD/PdR indicati nella Richiesta di Attivazione alle reti di distribuzione locale, all’attivazione dei servizi di trasporto e dispacciamento, nel caso di fornitura di energia elettrica e all’attivazione del servizio di distribuzione, nel caso di fornitura di gas.  L’esecuzione del Contratto da parte del Fornitore potrà essere sottoposta alla condizione risolutiva per sospensione o disattivazione per morosità del/i POD o PdR oggetto di richiesta di switching o per morosità precedenti verso altri Fornitori o il Fornitore stesso. Per tutti i dettagli si prega di consultare la documentazione contrattuale disponibile sul sito o prima della sottoscrizione dell’offerta.;02;Sconto costi di gestione;Sconto sui costi di gestione dovuti alla stipula di un contratto Dual;02;01;00;01;01;24;03;04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03386091205;DUALF24M2F202002;03;01;03;01;01;02;03;Accendi CASA Luce e Gas 24 mesi Bioraria;L’offerta “Accendi CASA Luce e Gas 24 mesi Bioraria" è dedicata al Cliente finale domestico titolare di un Punto di Prelievo in bassa tensione per Uso Domestico e di un Punto di Riconsegna Gas per Uso Domestico;24;Zero costi di attivazione e recesso. Zero costi spedizione bolletta. Nessuna garanzia di pagamento se sei Socio Coop Alleanza 3.0 e/o Unicoop Tirreno e/o Coop Reno. Se non sei Socio Coop Alleanza 3.0 o Unicoop Tirreno o Coop Reno ci saranno 25€ di garanzia di pagamento.;;800208468;https://www.accendilucegas.it;https://www.accendilucegas.it/offerta/casa-online-luce-gas-24-mesi-bioraria/;01/02/2020_00:00:00;29/02/2020_23:59:59;EEF24M2F202002;GMF24M202002;01;02;04;99;Cessione del credito;04;Tale offerta è da considerarsi pluriennale in considerazione del fatto che i prezzi applicati come riportati nelle CTE hanno validità di 24 mesi salvo recesso. Per tutti i dettagli si prega di consultare la documentazione contrattuale disponibile sul sito o prima della sottoscrizione dell’offerta;02;Sconto costi di gestione;Sconto sui costi di gestione dovuti alla stipula di un contratto Dual;02;01;00;01;01;24;03;04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03386091205;DUALF24M1F202002;03;01;03;01;01;02;03;Accendi CASA Luce e Gas 24 mesi Monoraria;L’offerta “Accendi CASA Luce e Gas 24 mesi Monoraria” è dedicata al Cliente finale domestico titolare di un Punto di Prelievo in bassa tensione per Uso Domestico e di un Punto di Riconsegna Gas per Uso Domestico;24;Zero costi di attivazione e recesso. Zero costi spedizione bolletta. Nessuna garanzia di pagamento se sei Socio Coop Alleanza 3.0 e/o Unicoop Tirreno e/o Coop Reno. Se non sei Socio Coop Alleanza 3.0 o Unicoop Tirreno o Coop Reno ci saranno 25€ di garanzia di pagamento.;;800208468;https://www.accendilucegas.it;https://www.accendilucegas.it/offerta/casa-online-luce-gas-24-mesi-monoraria/;01/02/2020_00:00:00;29/02/2020_23:59:59;EEF24M1F202002;GMF24M202002;01;02;04;99;Cessione del credito;04;Tale offerta è da considerarsi pluriennale in considerazione del fatto che i prezzi applicati come riportati nelle CTE hanno validità di 24 mesi salvo recesso. Per tutti i dettagli si prega di consultare la documentazione contrattuale disponibile sul sito o prima della sottoscrizione dell’offerta;02;Sconto costi di gestione;Sconto sui costi di gestione dovuti alla stipula di un contratto Dual;02;01;00;01;01;24;03;04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03386091205;DUALF24M1F202002RISP;03;01;03;01;;;;Accendi CASA Luce e Gas 24 mesi monoraria promo Risparmia;L’offerta “Accendi CASA Luce e Gas 24 mesi Monoraria” è dedicata al Cliente finale domestico titolare di un Punto di Prelievo in bassa tensione per Uso Domestico e di un Punto di Riconsegna Gas per Uso Domestico. Questa offerta consente di avere il prezzo della Luce bloccato per 24 mesi in fascia monoraria. Nel corso della durata del contratto si può contare su un prezzo della materia prima che non cambierà anche quando cambierà il costo dell’energia.;24;Zero costi di attivazione e recesso. Zero costi spedizione bolletta. Nessuna garanzia di pagamento se sei Socio Coop Alleanza 3.0 e/o Unicoop Tirreno e/o Coop Reno. Se non sei Socio Coop Alleanza 3.0 o Unicoop Tirreno o Coop Reno ti saranno addebitati 25€ di garanzia di pagamento.;01;800208468;https://www.accendilucegas.it;https://attiva.accendilucegas.it/onb/casa-luce-gas-24-mesi-mono/portaleofferte/risparmia;01/02/2020_00:00:00;29/02/2020_23:59:59;EEF24M1F202002RISP;GMF24M202002;01;02;04;99;Cessione del credito;04;Tale offerta è da considerarsi pluriennale in considerazione del fatto che i prezzi applicati come riportati nelle CTE hanno validità di 24 mesi salvo recesso. Per tutti i dettagli si prega di consultare la documentazione contrattuale disponibile sul sito o prima della sottoscrizione dell’offerta;02;Sconto costi di gestione;Sconto sui costi di gestione dovuti alla stipula di un contratto Dual;03;01;00;01;01;24;;;01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
