IdentificativiOfferta_PIVA_UTENTE;IdentificativiOfferta_COD_OFFERTA;DettaglioOfferta_TIPO_MERCATO;DettaglioOfferta_TIPO_CLIENTE;DettaglioOfferta_DOMESTICO_RESIDENTE;DettaglioOfferta_TIPO_OFFERTA;DettaglioOfferta_TIPOLOGIA_ATT_CONTR;DettaglioOfferta_NOME_OFFERTA;DettaglioOfferta_DESCRIZIONE;DettaglioOfferta_DURATA;DettaglioOfferta_GARANZIE;DettaglioOfferta_ModalitaAttivazione_MODALITA;DettaglioOfferta_Contatti_TELEFONO;DettaglioOfferta_Contatti_URL_SITO_VENDITORE;DettaglioOfferta_Contatti_URL_OFFERTA;RiferimentiPrezzoEnergia_IDX_PREZZO_ENERGIA;ValiditaOfferta_DATA_INIZIO;ValiditaOfferta_DATA_FINE;OffertaDual_OFFERTE_CONGIUNTE_EE;OffertaDual_OFFERTE_CONGIUNTE_GAS;MetodoPagamento_0_MODALITA_PAGAMENTO;MetodoPagamento_1_MODALITA_PAGAMENTO;MetodoPagamento_2_MODALITA_PAGAMENTO;MetodoPagamento_2_DESCRIZIONE;CondizioniContrattuali_0_TIPOLOGIA_CONDIZIONE;CondizioniContrattuali_0_DESCRIZIONE;CondizioniContrattuali_0_LIMITANTE;CondizioniContrattuali_1_TIPOLOGIA_CONDIZIONE;CondizioniContrattuali_1_DESCRIZIONE;CondizioniContrattuali_1_LIMITANTE;CondizioniContrattuali_2_TIPOLOGIA_CONDIZIONE;CondizioniContrattuali_2_DESCRIZIONE;CondizioniContrattuali_2_LIMITANTE;DettaglioOfferta_OFFERTA_SINGOLA;DettaglioOfferta_TIPOLOGIA_ATT_CONTR_0;DettaglioOfferta_TIPOLOGIA_ATT_CONTR_1;DettaglioOfferta_TIPOLOGIA_ATT_CONTR_2;DettaglioOfferta_TIPOLOGIA_ATT_CONTR_3;DettaglioOfferta_ModalitaAttivazione_MODALITA_0;DettaglioOfferta_ModalitaAttivazione_MODALITA_1;DettaglioOfferta_ModalitaAttivazione_MODALITA_2;DettaglioOfferta_ModalitaAttivazione_MODALITA_3;MetodoPagamento_0_DESCRIZIONE;MetodoPagamento_3_MODALITA_PAGAMENTO;MetodoPagamento_4_MODALITA_PAGAMENTO;CondizioniContrattuali_TIPOLOGIA_CONDIZIONE;CondizioniContrattuali_DESCRIZIONE;CondizioniContrattuali_LIMITANTE;ZoneOfferta_REGIONE;DettaglioOfferta_ModalitaAttivazione_DESCRIZIONE;CondizioniContrattuali_3_TIPOLOGIA_CONDIZIONE;CondizioniContrattuali_3_DESCRIZIONE;CondizioniContrattuali_3_LIMITANTE;CondizioniContrattuali_2_ALTRO;CondizioniContrattuali_1_ALTRO;CaratteristicheOfferta_CONSUMO_MIN;CaratteristicheOfferta_CONSUMO_MAX;MetodoPagamento_3_DESCRIZIONE;TipoPrezzo_TIPOLOGIA_FASCE;Dispacciamento_TIPO_DISPACCIAMENTO;Dispacciamento_VALORE_DISP;Dispacciamento_NOME;CondizioniContrattuali_ALTRO;Sconto_NOME;Sconto_DESCRIZIONE;Sconto_VALIDITA;Sconto_TIPO_SCONTO;Sconto_IVA_SCONTO;Sconto_Condizione_CONDIZIONE_APPLICAZIONE;Sconto_Condizione_DESCRIZIONE_CONDIZIONE;Sconto_PrezziSconto_TIPOLOGIA;Sconto_PrezziSconto_VALIDO_DA;Sconto_PrezziSconto_VALIDO_FINO;Sconto_PrezziSconto_UNITA_MISURA;Sconto_PrezziSconto_PREZZO;ZoneOfferta_REGIONE_0;ZoneOfferta_REGIONE_1;ZoneOfferta_PROVINCIA_0;ZoneOfferta_PROVINCIA_1;MetodoPagamento_MODALITA_PAGAMENTO
01275310199;ASPME_DFID002_2203PPM;03;01;03;02;99;CHIARA DUAL VARIABILE;CHIARA DUAL VARIABILE;12;Nessuna Garanzia;02;800292433;www.aspmenergia.com;www.aspmenergia.com;01;12/04/2022_00:00:00;07/07/2022_23:59:59;ASPME_DFID002_2203PUM;ASPME_DFID002_2203PSV;01;04;99;Bonifico bancario;01;Le condizioni economiche riportate sono applicate alla somministrazione di gas naturale ed energia elettrica. Le condizioni e i termini di cui al presente documento prevalgono sulle previsioni di cui alle Condizioni Generali, dove discordanti.;02;03;Il Cliente potra' recedere dal contratto mediante raccomandata A/R o mail info@aspmenergia.com, o richiesta di switch.;02;04;Tutti i corrispettivi riportati saranno applicati per un periodo di 12 mesi e sono da intendersi al netto delle imposte. Prima dello scadere del secondo anno di fornitura, ASPM ENERGIA SRL potra' comunicare i nuovi valori dei corrispettivi con effetto a decorrere dal primo giorno del quarto mese successivo a quello di comunicazione secondo quanto specificato nelle Condizioni Generali. Ove ASPM ENERGIA SRL non comunicasse i nuovi valori almeno 90 giorni prima della scadenza del periodo di applicabilita' dei corrispettivi allora vigenti, questi continueranno a trovare applicazione per i successivi 12 mesi.;02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01275310199;ASPME_DFIB002_2203PPM;03;02;;02;99;CHIARA DUAL VARIABILE;CHIARA DUAL VARIABILE;12;Nessuna Garanzia;02;800292433;www.aspmenergia.com;www.aspmenergia.com;01;12/04/2022_00:00:00;07/07/2022_23:59:59;ASPME_DFIB002_2203PUM;ASPME_DFIB002_2203PSV;01;04;99;Bonifico bancario;01;Le condizioni economiche riportate sono applicate alla somministrazione di gas naturale ed energia elettrica. Le condizioni e i termini di cui al presente documento prevalgono sulle previsioni di cui alle Condizioni Generali, dove discordanti.;02;03;Il Cliente potra' recedere dal contratto mediante raccomandata A/R o mail info@aspmenergia.com, o richiesta di switch.;02;04;Tutti i corrispettivi riportati saranno applicati per un periodo di 12 mesi e sono da intendersi al netto delle imposte. Prima dello scadere del secondo anno di fornitura, ASPM ENERGIA SRL potra' comunicare i nuovi valori dei corrispettivi con effetto a decorrere dal primo giorno del quarto mese successivo a quello di comunicazione secondo quanto specificato nelle Condizioni Generali. Ove ASPM ENERGIA SRL non comunicasse i nuovi valori almeno 90 giorni prima della scadenza del periodo di applicabilita' dei corrispettivi allora vigenti, questi continueranno a trovare applicazione per i successivi 12 mesi.;02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02078510423;FLED1AM322-20220204;03;01;;01;;FLESSIBILE LUCE MONORARIA e GAS;Con Flessibile Luce Monoraria e Gas hai la sicurezza di avere sempre una tariffa allineata con l���andamento dei prezzi di mercato | Prezzo Energia ASTEA bloccato per 12 mesi | Prezzo Energia ASTEA unico giorno e notte |  Possibilit�� di ricevere fatture mensili da dicembre a marzo con l���opzione inverno.;-1;NO;;00000;;;;07/02/2022_19:00:00;06/05/2022_23:59:59;FLEE1AM322-001-20220204;FLSG1A0222-001-20220111-1;99;04;03;;;;;;;;;;;NO;01;02;03;04;02;03;04;05;Bonifico bancario,Lottoma;02;01;01;Attivazione;02;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02078510423;SERD1A0322-20220404;03;01;;01;;SERENA DUAL;Con Serena Dual Pagherai la stessa rata per 12 mensilit��, indipendentemente dai rincari dell'energia e senza conguagli. Alla fine del periodo, la tua rata verr�� ricalcolata in base ai consumi effettivi. | Prezzo Energia ASTEA Energia bloccato per 24 mesi | Total Green: utilizzo gratuito di energia verde a impatto zero, bollette in formato elettronico, aiutando cos�� a consumare meno carta.;24;NO;;00000;;;;13/04/2022_16:00:00;06/05/2022_23:59:59;SERE1A0322-001-20220404;SERG1A0322-001-20220404;99;04;03;;;;;;;;;;;NO;01;02;03;04;02;03;04;05;Bonifico bancario,Lottoma;02;01;01;Attivazione;02;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02078510423;FLED1AB322-20220204;03;01;;01;;FLESSIBILE LUCE BIORARIA e GAS;Con Flessibile Luce Bioraria e Gas hai la sicurezza di avere sempre una tariffa allineata con l���andamento dei prezzi di mercato | Prezzo Energia ASTEA bloccato per 12 mesi | Possibilit�� di ricevere fatture gas mensili da dicembre a marzo con l���opzione inverno.;-1;NO;;00000;;;;07/02/2022_19:00:00;06/05/2022_23:59:59;FLEE1AB322-001-20220204;FLSG1A0222-001-20220111-1;99;04;03;;;;;;;;;;;NO;01;02;03;04;02;03;04;05;Bonifico bancario,Lottoma;02;01;01;Attivazione;02;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01141160992;D220411_P288G287;03;01;;01;99;PULSEE LUCE E GAS PER TE FIX Fix;Offerta a prezzo fisso, ideale per un utilizzo prevalente dell'energia elettrica durante la sera e i weekend, con la comodità di gestire luce e gas con un unico fornitore. L'energia fornita alla tua abitazione sarà valorizzata applicando ai tuoi consumi il prezzo fisso definito nell'offerta e invariabile per 24 mesi di fornitura. A partire dal 25 mese tale componente è da intendersi invariata, salvo comunicazione da parte del Fornitore. Gli altri corrispettivi della fornitura potranno subire, anche all���interno dei primi 24 mesi, indicizzazioni e/o variazioni in base a provvedimenti ARERA o di altra autorità. L'energia elettrica sarà 100% prodotta da fonti rinnovabili. Incluso nell'offerta servizio di assistenza dedicata tramite numero verde, Facebook Messenger e Whatsapp;-1;nessuna;;800620520;https://www.pulsee.it;https://pulsee.it/offerte-casa-luce-gas/luce-gas-per-te;;11/04/2022_12:00:00;10/05/2022_11:59:59;PULSEE_PBO23705_2204FIX;PULSEE_G23706_2204FIX;01;03;;;01;La data di attivazione della fornitura verrà indicata sulla lettera di benvenuto (welcome letter) che verrà inviata al cliente entro 40 giorni dalla sottoscrizione La fornitura di Energia Elettrica e/o di Gas Naturale è condizionata all'attivazione da parte dei soggetti competenti dei servizi di trasporto e dispacciamento dell'Energia Elettrica e/o di trasporto e di distribuzione del Gas Naturale e avviene compatibilmente con l'intervenuta efficacia dei recessi del Cliente verso precedenti fornitori.;01;02;In caso di recesso esercitato per disattivazione del punto di prelievo, sia per energia elettrica che gas naturale il Cliente è tenuto a inviare al fornitore comunicazione scritta a mezzo raccomandata con un preavviso di almeno 1 (uno) mese i rispetto alla decorrenza della disattivazione;01;03;il Cliente può esercitare il diritto di recesso per ripensamento entro 14 giorni dalla data di conclusione del contratto, anche per una sola fornitura, dandone comunicazione al Fornitore a mezzo lettera raccomandata AR, via email a assistenzaclienti.it@axpo.com o via PEC utilizzando l'apposito template messo a disposizione dal Fornitore e scaricabile dal sito internet. Nel caso di recesso per cambio venditore il Cliente rilascia al Fornitore apposita procura a recedere in suo nome e per suo conto dal contratto di fornitura con il fornitore uscente. Nel caso in cui intenda cambiare fornitore, il Cliente domestico può recedere in qualunque momento e senza oneri dal Contratto. Il nuovo fornitore è tenuto all'invio di apposita comunicazione al Sistema Informativo Integrato - SII Nel caso di recesso per motivi diversi dal cambio fornitore (ad esempio per disattivazione del punto), il Cliente invierà comunicazione di recesso nelle forme e con le modalità previste dall'articolo 20 (comunicazioni) al Fornitore. Qualora comunicato entro il giorno 10 del mese di fornitura (mese M), lo switching sarà efficace a partire dal primo giorno del mese successivo (mese M+1). In caso di switching comunicato oltre il giorno 10 del mese di fornitura (mese M), il recesso sarà efficace a partire dal primo giorno del secondo mese di fornitura successivo (M+2). In ogni caso il Fornitore ha facoltà di recedere dal Contratto, per qualunque motivo, dandone comunicazione al Cliente mediante raccomandata, con un termine di preavviso non inferiore a 6 (sei) mesi.;01;;;;;;01;05;99;;;;;;;;;Comparison,Call Center;04;Il Contratto ha durata indeterminata;02;;;;;;;;;;;;;;;;;;;;;;;;;;;
01141160992;D220411_P283G284;03;01;;02;99;PULSEE LUCE E GAS RELAX INDEX Index;Offerta a prezzo indicizzato, ideale per un utilizzo prevalente dell'energia durante la sera e i weekend, con la comodità di gestire luce e gas con un unico fornitore. L'energia fornita alla tua abitazione sarà valorizzata applicando ai tuoi consumi il prezzo indicizzato definito nell'offerta. Gli altri corrispettivi potranno subire indicizzazioni e/o variazioni in base a provvedimenti dell'ARERA. Incluso nell'offerta servizio di assistenza dedicata tramite numero verde, Facebook Messenger e Whatsapp;-1;nessuna;;800620520;https://www.pulsee.it;;01;11/04/2022_12:00:00;10/05/2022_11:59:59;PULSEE_PMO23693_2204PUB;PULSEE_G23694_2204PSV;01;03;;;01;La data di attivazione della fornitura verrà indicata sulla lettera di benvenuto (welcome letter) che verrà inviata al cliente entro 40 giorni dalla sottoscrizione La fornitura di Energia Elettrica e/o di Gas Naturale è condizionata all'attivazione da parte dei soggetti competenti dei servizi di trasporto e dispacciamento dell'Energia Elettrica e/o di trasporto e di distribuzione del Gas Naturale e avviene compatibilmente con l'intervenuta efficacia dei recessi del Cliente verso precedenti fornitori.;01;02;In caso di recesso esercitato per disattivazione del punto di prelievo, sia per energia elettrica che gas naturale il Cliente è tenuto a inviare al fornitore comunicazione scritta a mezzo raccomandata con un preavviso di almeno 1 (uno) mese i rispetto alla decorrenza della disattivazione;01;03;il Cliente può esercitare il diritto di recesso per ripensamento entro 14 giorni dalla data di conclusione del contratto, anche per una sola fornitura, dandone comunicazione al Fornitore a mezzo lettera raccomandata AR, via email a assistenzaclienti.it@axpo.com o via PEC utilizzando l'apposito template messo a disposizione dal Fornitore e scaricabile dal sito internet. Nel caso di recesso per cambio venditore il Cliente rilascia al Fornitore apposita procura a recedere in suo nome e per suo conto dal contratto di fornitura con il fornitore uscente. Nel caso in cui intenda cambiare fornitore, il Cliente domestico può recedere in qualunque momento e senza oneri dal Contratto. Il nuovo fornitore è tenuto all'invio di apposita comunicazione al Sistema Informativo Integrato - SII Nel caso di recesso per motivi diversi dal cambio fornitore (ad esempio per disattivazione del punto), il Cliente invierà comunicazione di recesso nelle forme e con le modalità previste dall'articolo 20 (comunicazioni) al Fornitore. Qualora comunicato entro il giorno 10 del mese di fornitura (mese M), lo switching sarà efficace a partire dal primo giorno del mese successivo (mese M+1). In caso di switching comunicato oltre il giorno 10 del mese di fornitura (mese M), il recesso sarà efficace a partire dal primo giorno del secondo mese di fornitura successivo (M+2). In ogni caso il Fornitore ha facoltà di recedere dal Contratto, per qualunque motivo, dandone comunicazione al Cliente mediante raccomandata, con un termine di preavviso non inferiore a 6 (sei) mesi.;01;;;;;;01;05;99;;;;;;;;;Comparison,Call Center;04;Il Contratto ha durata indeterminata;02;;;;;;;;;;;;;;;;;;;;;;;;;;;
01141160992;D220411_P285G284;03;01;;02;99;PULSEE LUCE E GAS PER TE INDEX Index;Offerta a prezzo indicizzato, ideale per un utilizzo prevalente dell'energia durante la sera e i weekend, con la comodità di gestire luce e gas con un unico fornitore. L'energia fornita alla tua abitazione sarà valorizzata applicando ai tuoi consumi il prezzo indicizzato definito nell'offerta. Gli altri corrispettivi potranno subire indicizzazioni e/o variazioni in base a provvedimenti dell'ARERA. Incluso nell'offerta servizio di assistenza dedicata tramite numero verde, Facebook Messenger e Whatsapp;-1;nessuna;;800620520;https://www.pulsee.it;;01;11/04/2022_12:00:00;10/05/2022_11:59:59;PULSEE_PBO23692_2204PUM;PULSEE_G23694_2204PSV;01;03;;;01;La data di attivazione della fornitura verrà indicata sulla lettera di benvenuto (welcome letter) che verrà inviata al cliente entro 40 giorni dalla sottoscrizione La fornitura di Energia Elettrica e/o di Gas Naturale è condizionata all'attivazione da parte dei soggetti competenti dei servizi di trasporto e dispacciamento dell'Energia Elettrica e/o di trasporto e di distribuzione del Gas Naturale e avviene compatibilmente con l'intervenuta efficacia dei recessi del Cliente verso precedenti fornitori.;01;02;In caso di recesso esercitato per disattivazione del punto di prelievo, sia per energia elettrica che gas naturale il Cliente è tenuto a inviare al fornitore comunicazione scritta a mezzo raccomandata con un preavviso di almeno 1 (uno) mese i rispetto alla decorrenza della disattivazione;01;03;il Cliente può esercitare il diritto di recesso per ripensamento entro 14 giorni dalla data di conclusione del contratto, anche per una sola fornitura, dandone comunicazione al Fornitore a mezzo lettera raccomandata AR, via email a assistenzaclienti.it@axpo.com o via PEC utilizzando l'apposito template messo a disposizione dal Fornitore e scaricabile dal sito internet. Nel caso di recesso per cambio venditore il Cliente rilascia al Fornitore apposita procura a recedere in suo nome e per suo conto dal contratto di fornitura con il fornitore uscente. Nel caso in cui intenda cambiare fornitore, il Cliente domestico può recedere in qualunque momento e senza oneri dal Contratto. Il nuovo fornitore è tenuto all'invio di apposita comunicazione al Sistema Informativo Integrato - SII Nel caso di recesso per motivi diversi dal cambio fornitore (ad esempio per disattivazione del punto), il Cliente invierà comunicazione di recesso nelle forme e con le modalità previste dall'articolo 20 (comunicazioni) al Fornitore. Qualora comunicato entro il giorno 10 del mese di fornitura (mese M), lo switching sarà efficace a partire dal primo giorno del mese successivo (mese M+1). In caso di switching comunicato oltre il giorno 10 del mese di fornitura (mese M), il recesso sarà efficace a partire dal primo giorno del secondo mese di fornitura successivo (M+2). In ogni caso il Fornitore ha facoltà di recedere dal Contratto, per qualunque motivo, dandone comunicazione al Cliente mediante raccomandata, con un termine di preavviso non inferiore a 6 (sei) mesi.;01;;;;;;01;05;99;;;;;;;;;Comparison,Call Center;04;Il Contratto ha durata indeterminata;02;;;;;;;;;;;;;;;;;;;;;;;;;;;
01141160992;D220411_P286G287;03;01;;01;99;PULSEE LUCE E GAS RELAX FIX Fix;Offerta a prezzo fisso, ideale per un utilizzo dell'energia durante tutta la giornata, senza orari particolari, con la comodità di gestire luce e gas con un unico fornitore. L'energia fornita alla tua abitazione sarà valorizzata applicando ai tuoi consumi il prezzo fisso definito nell'offerta e invariabile per 12 mesi di fornitura. A partire dal 13 mese tale componente è da intendersi invariata, salvo comunicazione da parte del Fornitore. Gli altri corrispettivi della fornitura potranno subire, anche all���interno dei primi 12 mesi, indicizzazioni e/o variazioni in base a provvedimenti ARERA o di altra autorità. L'energia elettrica sarà 100% prodotta da fonti rinnovabili. Incluso nell'offerta servizio di assistenza dedicata tramite numero verde, Facebook Messenger e Whatsapp;-1;nessuna;;800620520;https://www.pulsee.it;https://pulsee.it/offerte-casa-luce-gas/luce-gas-relax;;11/04/2022_12:00:00;10/05/2022_11:59:59;PULSEE_PMO23707_2204FIX;PULSEE_G23706_2204FIX;01;03;;;01;La data di attivazione della fornitura verrà indicata sulla lettera di benvenuto (welcome letter) che verrà inviata al cliente entro 40 giorni dalla sottoscrizione La fornitura di Energia Elettrica e/o di Gas Naturale è condizionata all'attivazione da parte dei soggetti competenti dei servizi di trasporto e dispacciamento dell'Energia Elettrica e/o di trasporto e di distribuzione del Gas Naturale e avviene compatibilmente con l'intervenuta efficacia dei recessi del Cliente verso precedenti fornitori.;01;02;In caso di recesso esercitato per disattivazione del punto di prelievo, sia per energia elettrica che gas naturale il Cliente è tenuto a inviare al fornitore comunicazione scritta a mezzo raccomandata con un preavviso di almeno 1 (uno) mese i rispetto alla decorrenza della disattivazione;01;03;il Cliente può esercitare il diritto di recesso per ripensamento entro 14 giorni dalla data di conclusione del contratto, anche per una sola fornitura, dandone comunicazione al Fornitore a mezzo lettera raccomandata AR, via email a assistenzaclienti.it@axpo.com o via PEC utilizzando l'apposito template messo a disposizione dal Fornitore e scaricabile dal sito internet. Nel caso di recesso per cambio venditore il Cliente rilascia al Fornitore apposita procura a recedere in suo nome e per suo conto dal contratto di fornitura con il fornitore uscente. Nel caso in cui intenda cambiare fornitore, il Cliente domestico può recedere in qualunque momento e senza oneri dal Contratto. Il nuovo fornitore è tenuto all'invio di apposita comunicazione al Sistema Informativo Integrato - SII Nel caso di recesso per motivi diversi dal cambio fornitore (ad esempio per disattivazione del punto), il Cliente invierà comunicazione di recesso nelle forme e con le modalità previste dall'articolo 20 (comunicazioni) al Fornitore. Qualora comunicato entro il giorno 10 del mese di fornitura (mese M), lo switching sarà efficace a partire dal primo giorno del mese successivo (mese M+1). In caso di switching comunicato oltre il giorno 10 del mese di fornitura (mese M), il recesso sarà efficace a partire dal primo giorno del secondo mese di fornitura successivo (M+2). In ogni caso il Fornitore ha facoltà di recedere dal Contratto, per qualunque motivo, dandone comunicazione al Cliente mediante raccomandata, con un termine di preavviso non inferiore a 6 (sei) mesi.;01;;;;;;01;05;99;;;;;;;;;Comparison,Call Center;04;Il Contratto ha durata indeterminata;02;;;;;;;;;;;;;;;;;;;;;;;;;;;
06289781004;SEGTU00001bis_DUAL_MONOR;03;01;03;02;01;Segui la tutela;L'offerta per il gas e la luce della tua casa che ti permette di passare dal mercato tutelato al mercato libero mantenendo la medesima formula di prezzo utilizzata dall’Autorità;-1;NESSUNA GARANZIA;02;800901199;https://casa.engie.it;https://casa.engie.it;01;25/06/2020_00:00:00;31/12/2022_00:00:00;SEGTU00001bis_ELE_MONOR;SEGTU00001bis_GAS;01;02;04;;;;;;;;;;;;;;;;;;;;;;;04;Offerta Pluriennale;02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
