IdentificativiOfferta_PIVA_UTENTE;IdentificativiOfferta_COD_OFFERTA;DettaglioOfferta_TIPO_MERCATO;DettaglioOfferta_TIPO_CLIENTE;DettaglioOfferta_DOMESTICO_RESIDENTE;DettaglioOfferta_TIPO_OFFERTA;DettaglioOfferta_TIPOLOGIA_ATT_CONTR_0;DettaglioOfferta_TIPOLOGIA_ATT_CONTR_1;DettaglioOfferta_TIPOLOGIA_ATT_CONTR_2;DettaglioOfferta_NOME_OFFERTA;DettaglioOfferta_DESCRIZIONE;DettaglioOfferta_DURATA;DettaglioOfferta_GARANZIE;DettaglioOfferta_ModalitaAttivazione_MODALITA;DettaglioOfferta_Contatti_TELEFONO;DettaglioOfferta_Contatti_URL_SITO_VENDITORE;ValiditaOfferta_DATA_INIZIO;ValiditaOfferta_DATA_FINE;OffertaDual_OFFERTE_CONGIUNTE_EE;OffertaDual_OFFERTE_CONGIUNTE_GAS;MetodoPagamento_0_MODALITA_PAGAMENTO;MetodoPagamento_1_MODALITA_PAGAMENTO;MetodoPagamento_2_MODALITA_PAGAMENTO;MetodoPagamento_3_MODALITA_PAGAMENTO;MetodoPagamento_3_DESCRIZIONE;CondizioniContrattuali_TIPOLOGIA_CONDIZIONE;CondizioniContrattuali_DESCRIZIONE;CondizioniContrattuali_LIMITANTE;Sconto_NOME;Sconto_DESCRIZIONE;Sconto_VALIDITA;Sconto_IVA_SCONTO;Sconto_Condizione_CONDIZIONE_APPLICAZIONE;Sconto_Condizione_DESCRIZIONE_CONDIZIONE;Sconto_PrezziSconto_TIPOLOGIA;Sconto_PrezziSconto_UNITA_MISURA;Sconto_PrezziSconto_PREZZO;RiferimentiPrezzoEnergia_IDX_PREZZO_ENERGIA;DettaglioOfferta_OFFERTA_SINGOLA;DettaglioOfferta_TIPOLOGIA_ATT_CONTR_3;DettaglioOfferta_ModalitaAttivazione_MODALITA_0;DettaglioOfferta_ModalitaAttivazione_MODALITA_1;DettaglioOfferta_ModalitaAttivazione_MODALITA_2;DettaglioOfferta_ModalitaAttivazione_MODALITA_3;MetodoPagamento_0_DESCRIZIONE;MetodoPagamento_4_MODALITA_PAGAMENTO;ZoneOfferta_REGIONE_0;ZoneOfferta_REGIONE_1;ZoneOfferta_REGIONE_2;ZoneOfferta_REGIONE_3;ZoneOfferta_REGIONE_4;ZoneOfferta_REGIONE_5;ZoneOfferta_REGIONE_6;ZoneOfferta_REGIONE_7;DettaglioOfferta_TIPOLOGIA_ATT_CONTR;DettaglioOfferta_ModalitaAttivazione_DESCRIZIONE;CondizioniContrattuali_0_TIPOLOGIA_CONDIZIONE;CondizioniContrattuali_0_DESCRIZIONE;CondizioniContrattuali_0_LIMITANTE;CondizioniContrattuali_1_TIPOLOGIA_CONDIZIONE;CondizioniContrattuali_1_DESCRIZIONE;CondizioniContrattuali_1_LIMITANTE;CondizioniContrattuali_2_TIPOLOGIA_CONDIZIONE;CondizioniContrattuali_2_DESCRIZIONE;CondizioniContrattuali_2_LIMITANTE;CondizioniContrattuali_3_TIPOLOGIA_CONDIZIONE;CondizioniContrattuali_3_DESCRIZIONE;CondizioniContrattuali_3_LIMITANTE;DettaglioOfferta_Contatti_URL_OFFERTA;MetodoPagamento_MODALITA_PAGAMENTO;CondizioniContrattuali_1_ALTRO;CaratteristicheOfferta_CONSUMO_MIN;CaratteristicheOfferta_CONSUMO_MAX;TipoPrezzo_TIPOLOGIA_FASCE;Dispacciamento_TIPO_DISPACCIAMENTO;Dispacciamento_VALORE_DISP;Dispacciamento_NOME;CondizioniContrattuali_ALTRO;Sconto_TIPO_SCONTO;Sconto_PrezziSconto_VALIDO_DA;Sconto_PrezziSconto_VALIDO_FINO;ZoneOfferta_REGIONE;ZoneOfferta_PROVINCIA;ZoneOfferta_REGIONE_8;ZoneOfferta_REGIONE_9;ZoneOfferta_REGIONE_10;ZoneOfferta_REGIONE_11;ZoneOfferta_REGIONE_12
03386091205;023912DSFFL01XX-2302ECOLOGK24BIR;03;01;03;01;01;02;03;Accendi ECOLOGICA Luce e Gas 24 Mesi Bioraria;L'offerta "Accendi ECOLOGICA Luce e Gas 24 mesi Bioraria" e' dedicata al cliente finale domestico titolare di un Punto di Prelievo in bassa tensione per Uso Domestico e di un Punto di Riconsegna Gas per Uso Domestico. Questa offerta permette di avere l'opzione Energie Rinnovabili, senza alcun costo aggiuntivo per il cliente e permette di avere il prezzo della Luce e del Gas bloccato per 2 anni in fascia bioraria. L'opzione Energie Rinnovabili garantisce al Cliente che tutta l'energia dallo stesso consumata provenga da fonti rinnovabili. Il fornitore provvedera' all'approvvigionamento e all'annullamento delle Garanzie di Origine per la certificazione dell'intero quantitativo di energia elettrica consumata annualmente dal Cliente in conformita' alla delibera ARERA ARG/elt 104/11 s.s.m.i. garantendo la coerenza del contratto di fornitura con la regolazione definita dell'ARERA in materia. Questa offerta permette inoltre di avere il gas "verde 100% CO2 free" perche utilizza la Certificazione di Crediti di Carbonio di Carbonsink. Con questo sistema, le emissioni di carbonio legate alla produzione del gas vengono "compensate" finanziando programmi con un impatto positivo sull'ambiente e lo sviluppo sostenibile del pianeta. Il valore  del corrispettivo a copertura degli oneri netti di approvvigionamento della capacita' e' indicato nella Quota Energia all'interno della Materia prima energia al lordo delle perdite di rete, ed e' pari a quello stabilito dall'ARERA per i clienti del servizio di maggior tutela. Tale corrispettivo sara' ulteriormente maggiorato di un importo pari alle perdite (attualmente del 10%). Tale percentuale di maggiorazione e il corrispettivo stesso seguiranno gli eventuali aggiornamenti previsti da Arera.;24;Zero costi di attivazione e recesso. Zero costi spedizione bolletta. Nessuna garanzia di pagamento se sei Socio Coop Alleanza 3.0 o Unicoop Tirreno o Coop Reno oppure hai scelto come modalit�� di pagamento l���addebito bancario/postale SDD e l���allineamento verso la banca abbia avuto esito positivo e non vi siano insoluti a tuo carico. Se non sei Socio Coop Alleanza 3.0 o Unicoop Tirreno o Coop Reno e non hai scelto come modalit�� di pagamento l���addebito bancario/postale SDD, ��o pur avendola scelta, vi siano insoluti a tuo carico oppure l���allineamento verso la banca ha avuto esito negativo non facendo risultare attivo l���addebito ci saranno 25��� di garanzia di pagamento;02;800208468;https://www.accendilucegas.it;01/02/2023_00:00:00;28/02/2023_23:59:59;023912DSFFL01XX-2302ECOLOGK24BID;023912DSFML01XX-2302ECOLOGK24GND;01;02;04;99;Cessione del credito;04;Tale offerta �� da considerarsi pluriennale in considerazione del fatto che i prezzi applicati come riportati nelle CTE hanno validit�� di 24 mesi salvo recesso. Per tutti i dettagli si prega di consultare la documentazione contrattuale disponibile sul sito o prima della sottoscrizione dell���offerta;02;Cessione del credito Coop Alleanza 3.0;Sconto applicato qualora il pagamento della bolletta avvenga mediante la cessione del credito e sia operata la compensazione sul libretto sociale di prestito di Coop Alleanza 3.0;03;01;99;Sconto applicato qualora il pagamento della bolletta avvenga mediante la cessione del credito e sia operata la compensazione sul libretto sociale di prestito di Coop Alleanza 3.0;01;01;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03386091205;023912DSFML01XX-2302ECOLOGK24MOR;03;01;03;01;01;02;03;Accendi ECOLOGICA Luce e Gas 24 Mesi Monoraria;L'offerta "Accendi ECOLOGICA Luce e Gas 24 mesi Monoraria" e' dedicata al cliente finale domestico titolare di un Punto di Prelievo in bassa tensione per Uso Domestico e di un Punto di Riconsegna Gas per Uso Domestico. Questa offerta permette di avere l'opzione Energie Rinnovabili, senza alcun costo aggiuntivo per il cliente e permette di avere il prezzo della Luce e del Gas bloccato per 2 anni in fascia monoraria. L'opzione Energie Rinnovabili garantisce al Cliente che tutta l'energia dallo stesso consumata provenga da fonti rinnovabili. Il fornitore provvedera' all'approvvigionamento e all'annullamento delle Garanzie di Origine per la certificazione dell'intero quantitativo di energia elettrica consumata annualmente dal Cliente in conformita' alla delibera ARERA ARG/elt 104/11 s.s.m.i. garantendo la coerenza del contratto di fornitura con la regolazione definita dell'ARERA in materia. Questa offerta permette inoltre di avere il gas "verde 100% CO2 free" perche utilizza la Certificazione di Crediti di Carbonio di Carbonsink. Con questo sistema, le emissioni di carbonio legate alla produzione del gas vengono "compensate" finanziando programmi con un impatto positivo sull'ambiente e lo sviluppo sostenibile del pianeta. Il valore  del corrispettivo a copertura degli oneri netti di approvvigionamento della capacita' e' indicato nella Quota Energia all'interno della Materia prima energia al lordo delle perdite di rete, ed e' pari a quello stabilito dall'ARERA per i clienti del servizio di maggior tutela. Tale corrispettivo sara' ulteriormente maggiorato di un importo pari alle perdite (attualmente del 10%). Tale percentuale di maggiorazione e il corrispettivo stesso seguiranno gli eventuali aggiornamenti previsti da Arera.;24;Zero costi di attivazione e recesso. Zero costi spedizione bolletta. Nessuna garanzia di pagamento se sei Socio Coop Alleanza 3.0 o Unicoop Tirreno o Coop Reno oppure hai scelto come modalit�� di pagamento l���addebito bancario/postale SDD e l���allineamento verso la banca abbia avuto esito positivo e non vi siano insoluti a tuo carico. Se non sei Socio Coop Alleanza 3.0 o Unicoop Tirreno o Coop Reno e non hai scelto come modalit�� di pagamento l���addebito bancario/postale SDD, ��o pur avendola scelta, vi siano insoluti a tuo carico oppure l���allineamento verso la banca ha avuto esito negativo non facendo risultare attivo l���addebito ci saranno 25��� di garanzia di pagamento;02;800208468;https://www.accendilucegas.it;01/02/2023_00:00:00;28/02/2023_23:59:59;023912DSFML01XX-2302ECOLOGK24MOD;023912DSFML01XX-2302ECOLOGK24GND;01;02;04;99;Cessione del credito;04;Tale offerta �� da considerarsi pluriennale in considerazione del fatto che i prezzi applicati come riportati nelle CTE hanno validit�� di 24 mesi salvo recesso. Per tutti i dettagli si prega di consultare la documentazione contrattuale disponibile sul sito o prima della sottoscrizione dell���offerta;02;Cessione del credito Coop Alleanza 3.0;Sconto applicato qualora il pagamento della bolletta avvenga mediante la cessione del credito e sia operata la compensazione sul libretto sociale di prestito di Coop Alleanza 3.0;03;01;99;Sconto applicato qualora il pagamento della bolletta avvenga mediante la cessione del credito e sia operata la compensazione sul libretto sociale di prestito di Coop Alleanza 3.0;01;01;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03386091205;023912DSVFL01XX-2302AGILEECOLELR;03;01;03;02;01;02;03;Accendi Casa AGILE ECOLOGICA Luce e Gas;L'offerta "Accendi Casa AGILE ECOLOGICA Luce e Gas" e' dedicata al Cliente finale domestico titolare di un contatore luce e di un contatore gas per Uso Domestico. Si tratta di un' offerta a prezzo variabile e il costo della materia prima segue l'andamento del mercato all'ingrosso. Questa offerta permette di avere l'opzione Energie Rinnovabili, senza alcun costo aggiuntivo per il cliente e garantisce he tutta l'energia dallo stesso consumata provenga da fonti rinnovabili. Il fornitore provvedera' all'approvvigionamento e all'annullamento delle Garanzie di Origine per la certificazione dell'intero quantitativo di energia elettrica consumata annualmente dal Cliente in conformita' alla delibera ARERA ARG/elt 104/11 s.s.m.i. garantendo la coerenza del contratto di fornitura con la regolazione definita dell'ARERA in materia. Il valore  del corrispettivo a copertura degli oneri netti di approvvigionamento della capacita' e' indicato nella Quota Energia all'interno della Materia prima energia al lordo delle perdite di rete, ed e' pari a quello stabilito dall'ARERA per i clienti del servizio di maggior tutela. Tale corrispettivo sara' ulteriormente maggiorato di un importo pari alle perdite (attualmente del 10%). Tale percentuale di maggiorazione e il corrispettivo stesso seguiranno gli eventuali aggiornamenti previsti da Arera.;-1;Zero costi di attivazione e recesso. Zero costi spedizione bolletta. Nessuna garanzia di pagamento se sei Socio Coop Alleanza 3.0 o Unicoop Tirreno o Coop Reno oppure hai scelto come modalit�� di pagamento l���addebito bancario/postale SDD e l���allineamento verso la banca abbia avuto esito positivo e non vi siano insoluti a tuo carico. Se non sei Socio Coop Alleanza 3.0 o Unicoop Tirreno o Coop Reno e non hai scelto come modalit�� di pagamento l���addebito bancario/postale SDD, ��o pur avendola scelta, vi siano insoluti a tuo carico oppure l���allineamento verso la banca ha avuto esito negativo non facendo risultare attivo l���addebito ci saranno 25��� di garanzia di pagamento;02;800208468;https://www.accendilucegas.it;01/02/2023_00:00:00;28/02/2023_23:59:59;023912DSVFL01XX-2302AGILEECOLELD;023912DSVML01XX-2302AGILEECOLGND;01;02;04;99;Cessione del credito;04;Le presenti condizioni tecniche economiche saranno considerate valide per 12 mesi decorrenti dalla data di attivazione della fornitura e si intenderanno prorogate per altri 12 mesi, e cos�� sempre in assenza di alcuna nuova proposta, qualora ALG, entro la scadenza dei 12 mesi, non abbia inviato al cliente alcuna nuova proposta. Per tutti i dettagli si prega di consultare la documentazione contrattuale disponibile sul sito o prima della sottoscrizione dell���offerta;02;Cessione del credito Coop Alleanza 3.0;Sconto applicato qualora il pagamento della bolletta avvenga mediante la cessione del credito e sia operata la compensazione sul libretto sociale di prestito di Coop Alleanza 3.0;03;01;99;Sconto applicato qualora il pagamento della bolletta avvenga mediante la cessione del credito e sia operata la compensazione sul libretto sociale di prestito di Coop Alleanza 3.0;01;01;6;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02078510423;001046DSVFL01XXGIUD1AB4221221201;03;01;;01;01;02;03;GIUSTA LUCE E GAS;Con GIUSTA LUCE E GAS Scegli una tariffa sempre allineata con l���andamento dei prezzi di mercato, per te uno sconto di 30 ��� per il primo anno (sia per il Gas che per la Luce), accreditato mensilmente in bolletta in proporzione al periodo fatturato e un ulteriore sconto di 5 ��� per il primo anno subordinato all���attivazione della domiciliazione bancaria o postale dei pagamenti (sia per il Gas che per la Luce). | Opzione 12 mesi (Luce): emissione di fatture con frequenza mensile  | Opzione Inverno (Gas): emissione di fatture a Gennaio, Febbraio, Marzo, Aprile, Giugno, Agosto, Ottobre, Novembre e Dicembre | Total Green: utilizzo gratuito di energia elettrica prodotta da fonti rinnovabili, bollette in formato elettronico, aiutando cos�� a consumare meno carta.;12;NO;;800992627;https://www.asteaenergia.it/;29/12/2022_18:00:00;28/02/2023_23:59:59;001046ESVFL01XXGIUE1AB4221221201;001046GSVML01XXGIUG1AB4221221201;99;04;03;02;;01;Attivazione;02;;;;;;;;;;;NO;04;02;03;04;05;Bonifico bancario,Lottoma;01;11;12;13;14;15;16;17;18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01141160992;000099DSVML02XXPULSEEIXX39672302;03;01;;02;;;;PULSEE LUCE E GAS RELAX INDEX Index;Offerta a prezzo indicizzato, ideale per un utilizzo prevalente dell'energia durante la sera e i weekend, con la comodità di gestire luce e gas con un unico fornitore. L'energia fornita alla tua abitazione sarà valorizzata applicando ai tuoi consumi il prezzo indicizzato definito nell'offerta. Gli altri corrispettivi potranno subire indicizzazioni e/o variazioni in base a provvedimenti dell'ARERA. Incluso nell'offerta servizio di assistenza dedicata tramite numero verde, Facebook Messenger e Whatsapp;-1;nessuna;;800620520;https://www.pulsee.it;06/02/2023_12:00:00;05/03/2023_11:59:59;000099DSVML02XXPULSEEPUB39892302;000099DSVML02XXPULSEEPGA39672302;01;03;;;;;;;;;;;;;;;;01;;;01;05;99;;;;;;;;;;;;99;Comparison,Call Center;01;La data di attivazione della fornitura verrà indicata sulla lettera di benvenuto (welcome letter) che verrà inviata al cliente entro 40 giorni dalla sottoscrizione La fornitura di Energia Elettrica e/o di Gas Naturale è condizionata all'attivazione da parte dei soggetti competenti dei servizi di trasporto e dispacciamento dell'Energia Elettrica e/o di trasporto e di distribuzione del Gas Naturale e avviene compatibilmente con l'intervenuta efficacia dei recessi del Cliente verso precedenti fornitori.;01;02;In caso di recesso esercitato per disattivazione del punto di prelievo, sia per energia elettrica che gas naturale il Cliente è tenuto a inviare al fornitore comunicazione scritta a mezzo raccomandata con un preavviso di almeno 1 (uno) mese i rispetto alla decorrenza della disattivazione;01;03;il Cliente può esercitare il diritto di recesso per ripensamento entro 14 giorni dalla data di conclusione del contratto, anche per una sola fornitura, dandone comunicazione al Fornitore a mezzo lettera raccomandata AR, via email a assistenzaclienti.it@axpo.com o via PEC utilizzando l'apposito template messo a disposizione dal Fornitore e scaricabile dal sito internet. Nel caso di recesso per cambio venditore il Cliente rilascia al Fornitore apposita procura a recedere in suo nome e per suo conto dal contratto di fornitura con il fornitore uscente. Nel caso in cui intenda cambiare fornitore, il Cliente domestico può recedere in qualunque momento e senza oneri dal Contratto. Il nuovo fornitore è tenuto all'invio di apposita comunicazione al Sistema Informativo Integrato - SII Nel caso di recesso per motivi diversi dal cambio fornitore (ad esempio per disattivazione del punto), il Cliente invierà comunicazione di recesso nelle forme e con le modalità previste dall'articolo 20 (comunicazioni) al Fornitore. Qualora comunicato entro il giorno 10 del mese di fornitura (mese M), lo switching sarà efficace a partire dal primo giorno del mese successivo (mese M+1). In caso di switching comunicato oltre il giorno 10 del mese di fornitura (mese M), il recesso sarà efficace a partire dal primo giorno del secondo mese di fornitura successivo (M+2). In ogni caso il Fornitore ha facoltà di recedere dal Contratto, per qualunque motivo, dandone comunicazione al Cliente mediante raccomandata, con un termine di preavviso non inferiore a 6 (sei) mesi.;01;04;Il Contratto ha durata indeterminata;02;;;;;;;;;;;;;;;;;;;;
01141160992;000099DSVML02XXPULSEEIDX39672302;03;01;;02;;;;PULSEE LIMIT.E DUAL Index;Attivando il nuovo prodotto LIMIT.E ti proteggiamo dai rincari del mercato, fissando un tetto al prezzo della tua materia energia per i primi 12 mesi. Con la formula indicizzato, potrai godere dei momenti di ribasso del mercato con la sicurezza che non pagherai oltre il valore limit.e indicato in fase di attivazione. Ideale per un utilizzo dell'energia durante tutta la giornata, senza orari particolari. L'energia fornita alla tua abitazione sarà 100% prodotta da fonti rinnovabili e valorizzata applicando ai tuoi consumi il prezzo indicizzato definito nell'offerta. Gli altri corrispettivi potranno subire indicizzazioni e/o variazioni in base a provvedimenti dell'ARERA. Incluso nell'offerta servizio di assistenza dedicata tramite numero verde, Facebook Messenger e Whatsapp.;-1;nessuna;;800620520;https://www.pulsee.it;06/02/2023_12:00:00;05/03/2023_11:59:59;000099DSVML02XXPULSEEPUB40032302;000099DSVML02XXPULSEEPGA39672302;01;03;;;;;;;;;;;;;;;;01;;;01;05;99;;;;;;;;;;;;99;Comparison,Call Center;01;La data di attivazione della fornitura verrà indicata sulla lettera di benvenuto (welcome letter) che verrà inviata al cliente entro 40 giorni dalla sottoscrizione La fornitura di Energia Elettrica e/o di Gas Naturale è condizionata all'attivazione da parte dei soggetti competenti dei servizi di trasporto e dispacciamento dell'Energia Elettrica e/o di trasporto e di distribuzione del Gas Naturale e avviene compatibilmente con l'intervenuta efficacia dei recessi del Cliente verso precedenti fornitori.;01;02;In caso di recesso esercitato per disattivazione del punto di prelievo, sia per energia elettrica che gas naturale il Cliente è tenuto a inviare al fornitore comunicazione scritta a mezzo raccomandata con un preavviso di almeno 1 (uno) mese i rispetto alla decorrenza della disattivazione;01;03;il Cliente può esercitare il diritto di recesso per ripensamento entro 14 giorni dalla data di conclusione del contratto, anche per una sola fornitura, dandone comunicazione al Fornitore a mezzo lettera raccomandata AR, via email a assistenzaclienti.it@axpo.com o via PEC utilizzando l'apposito template messo a disposizione dal Fornitore e scaricabile dal sito internet. Nel caso di recesso per cambio venditore il Cliente rilascia al Fornitore apposita procura a recedere in suo nome e per suo conto dal contratto di fornitura con il fornitore uscente. Nel caso in cui intenda cambiare fornitore, il Cliente domestico può recedere in qualunque momento e senza oneri dal Contratto. Il nuovo fornitore è tenuto all'invio di apposita comunicazione al Sistema Informativo Integrato - SII Nel caso di recesso per motivi diversi dal cambio fornitore (ad esempio per disattivazione del punto), il Cliente invierà comunicazione di recesso nelle forme e con le modalità previste dall'articolo 20 (comunicazioni) al Fornitore. Qualora comunicato entro il giorno 10 del mese di fornitura (mese M), lo switching sarà efficace a partire dal primo giorno del mese successivo (mese M+1). In caso di switching comunicato oltre il giorno 10 del mese di fornitura (mese M), il recesso sarà efficace a partire dal primo giorno del secondo mese di fornitura successivo (M+2). In ogni caso il Fornitore ha facoltà di recedere dal Contratto, per qualunque motivo, dandone comunicazione al Cliente mediante raccomandata, con un termine di preavviso non inferiore a 6 (sei) mesi.;01;04;Il Contratto ha durata indeterminata;02;;;;;;;;;;;;;;;;;;;;
01141160992;000099DSVML02XXPULSEEIDX39682302;03;01;;02;;;;PULSEE LUCE E GAS PER TE INDEX Index;Offerta a prezzo indicizzato, ideale per un utilizzo prevalente dell'energia durante la sera e i weekend, con la comodità di gestire luce e gas con un unico fornitore. L'energia fornita alla tua abitazione sarà valorizzata applicando ai tuoi consumi il prezzo indicizzato definito nell'offerta. Gli altri corrispettivi potranno subire indicizzazioni e/o variazioni in base a provvedimenti dell'ARERA. Incluso nell'offerta servizio di assistenza dedicata tramite numero verde, Facebook Messenger e Whatsapp;-1;nessuna;;800620520;https://www.pulsee.it;06/02/2023_12:00:00;05/03/2023_11:59:59;000099DSVFL02XXPULSEEPUM39882302;000099DSVML02XXPULSEEPGA39682302;01;03;;;;;;;;;;;;;;;;01;;;01;05;99;;;;;;;;;;;;99;Comparison,Call Center;01;La data di attivazione della fornitura verrà indicata sulla lettera di benvenuto (welcome letter) che verrà inviata al cliente entro 40 giorni dalla sottoscrizione La fornitura di Energia Elettrica e/o di Gas Naturale è condizionata all'attivazione da parte dei soggetti competenti dei servizi di trasporto e dispacciamento dell'Energia Elettrica e/o di trasporto e di distribuzione del Gas Naturale e avviene compatibilmente con l'intervenuta efficacia dei recessi del Cliente verso precedenti fornitori.;01;02;In caso di recesso esercitato per disattivazione del punto di prelievo, sia per energia elettrica che gas naturale il Cliente è tenuto a inviare al fornitore comunicazione scritta a mezzo raccomandata con un preavviso di almeno 1 (uno) mese i rispetto alla decorrenza della disattivazione;01;03;il Cliente può esercitare il diritto di recesso per ripensamento entro 14 giorni dalla data di conclusione del contratto, anche per una sola fornitura, dandone comunicazione al Fornitore a mezzo lettera raccomandata AR, via email a assistenzaclienti.it@axpo.com o via PEC utilizzando l'apposito template messo a disposizione dal Fornitore e scaricabile dal sito internet. Nel caso di recesso per cambio venditore il Cliente rilascia al Fornitore apposita procura a recedere in suo nome e per suo conto dal contratto di fornitura con il fornitore uscente. Nel caso in cui intenda cambiare fornitore, il Cliente domestico può recedere in qualunque momento e senza oneri dal Contratto. Il nuovo fornitore è tenuto all'invio di apposita comunicazione al Sistema Informativo Integrato - SII Nel caso di recesso per motivi diversi dal cambio fornitore (ad esempio per disattivazione del punto), il Cliente invierà comunicazione di recesso nelle forme e con le modalità previste dall'articolo 20 (comunicazioni) al Fornitore. Qualora comunicato entro il giorno 10 del mese di fornitura (mese M), lo switching sarà efficace a partire dal primo giorno del mese successivo (mese M+1). In caso di switching comunicato oltre il giorno 10 del mese di fornitura (mese M), il recesso sarà efficace a partire dal primo giorno del secondo mese di fornitura successivo (M+2). In ogni caso il Fornitore ha facoltà di recedere dal Contratto, per qualunque motivo, dandone comunicazione al Cliente mediante raccomandata, con un termine di preavviso non inferiore a 6 (sei) mesi.;01;04;Il Contratto ha durata indeterminata;02;;;;;;;;;;;;;;;;;;;;
06289781004;001714DSVFL04XXAGICS000020000000;03;01;03;02;;;;Energia Agile;Energia Agile;-1;Domiciliazione obbligatoria;04;800901199;https://casa.engie.it;08/02/2023_00:00:00;08/03/2023_00:00:00;001714ESVFL04XXAGICS000020000000;001714GSVML04XXAGICS000020000000;;;;;;04;Offerta Pluriennale;02;;;;;;;;;;12;;;;;;;;;;;;;;;;;02;;;;;;;;;;;;;;https://casa.engie.it;01;;;;;;;;;;;;;;;;;;
06289781004;001714DSVFL02XXPFLES000020000000;03;02;;02;;;;eFLEX;L'offerta di ENGIE per la luce e gas della tua attività che ti garantisce un prezzo sempre in linea con il mercato;-1;NESSUNA GARANZIA;02;800901199;https://imprese.engie.it/professionisti-commercianti;09/02/2023_17:00:00;08/03/2023_00:00:00;001714ESVFL02XXPFLES000020000000;001714GSVML02XXPFLES000020000000;01;02;04;;;04;Offerta Pluriennale;02;;;;;;;;;;12;;;;;;;;;;;;;;;;;01;;;;;;;;;;;;;;https://imprese.engie.it/professionisti-commercianti;;;;;;;;;;;;;;;;;;;
04096150281;021406DSVML07XXCACOSMBV01_000000;03;01;;02;01;03;04;SMART VARIABILE BIFUEL;La presente offerta e' applicabile a tutti i Clienti domestici. L'offerta e' riservata a tutti coloro che sono gia' clienti Invent per aver acquistato un prodotto della linea Smart.;12;cauzione come da contratto;99;0421307393;www.ecocasalucegas.it;23/12/2022_23:59:00;30/04/2023_00:00:00;021406ESVML01XXCACOSMBV01L_00000;021406GSVML07XXCACOSMBV01G_00000;99;04;01;;;;;;;;;;;;;;;14;NO;;;;;;bonifiico bancario;;;;;;;;;;;email o incaricato;01;La presente offerta e' applicabile a tutti i Clienti domestici. L'offerta e' riservata a tutti coloro che sono gia' clienti Invent per aver acquistato un prodotto della linea Smart.;01;99;All'atto dell'emissione di una fattura, qualora risultino fatture precedenti non pagate, Invent si riserva il diritto di non procedere al riconoscimento del bonus nella fattura in emissione.;01;03;In caso di recesso per cambio venditore da parte del Cliente o qualora il Cliente sottoscriva una differente offerta di Invent, Invent non applichera' gli eventuali sconti residui.;01;;;;https://www.ecocasalucegas.it/lucegas-famiglia/;;insolvenza;;;;;;;;;;;;;;;;;
