IdentificativiOfferta_PIVA_UTENTE;IdentificativiOfferta_COD_OFFERTA;DettaglioOfferta_TIPO_MERCATO;DettaglioOfferta_TIPO_CLIENTE;DettaglioOfferta_DOMESTICO_RESIDENTE;DettaglioOfferta_TIPO_OFFERTA;DettaglioOfferta_TIPOLOGIA_ATT_CONTR_0;DettaglioOfferta_TIPOLOGIA_ATT_CONTR_1;DettaglioOfferta_TIPOLOGIA_ATT_CONTR_2;DettaglioOfferta_NOME_OFFERTA;DettaglioOfferta_DESCRIZIONE;DettaglioOfferta_DURATA;DettaglioOfferta_GARANZIE;DettaglioOfferta_ModalitaAttivazione_MODALITA;DettaglioOfferta_Contatti_TELEFONO;DettaglioOfferta_Contatti_URL_SITO_VENDITORE;ValiditaOfferta_DATA_INIZIO;ValiditaOfferta_DATA_FINE;OffertaDual_OFFERTE_CONGIUNTE_EE;OffertaDual_OFFERTE_CONGIUNTE_GAS;MetodoPagamento_0_MODALITA_PAGAMENTO;MetodoPagamento_1_MODALITA_PAGAMENTO;MetodoPagamento_2_MODALITA_PAGAMENTO;MetodoPagamento_3_MODALITA_PAGAMENTO;MetodoPagamento_3_DESCRIZIONE;CondizioniContrattuali_TIPOLOGIA_CONDIZIONE;CondizioniContrattuali_DESCRIZIONE;CondizioniContrattuali_LIMITANTE;Sconto_NOME;Sconto_DESCRIZIONE;Sconto_VALIDITA;Sconto_IVA_SCONTO;Sconto_Condizione_CONDIZIONE_APPLICAZIONE;Sconto_Condizione_DESCRIZIONE_CONDIZIONE;Sconto_PrezziSconto_TIPOLOGIA;Sconto_PrezziSconto_UNITA_MISURA;Sconto_PrezziSconto_PREZZO;RiferimentiPrezzoEnergia_IDX_PREZZO_ENERGIA;DettaglioOfferta_OFFERTA_SINGOLA;DettaglioOfferta_TIPOLOGIA_ATT_CONTR_3;DettaglioOfferta_ModalitaAttivazione_MODALITA_0;DettaglioOfferta_ModalitaAttivazione_MODALITA_1;DettaglioOfferta_ModalitaAttivazione_MODALITA_2;DettaglioOfferta_ModalitaAttivazione_MODALITA_3;MetodoPagamento_0_DESCRIZIONE;MetodoPagamento_4_MODALITA_PAGAMENTO;ZoneOfferta_REGIONE;ZoneOfferta_PROVINCIA;DettaglioOfferta_TIPOLOGIA_ATT_CONTR;DettaglioOfferta_Contatti_URL_OFFERTA;MetodoPagamento_MODALITA_PAGAMENTO;DettaglioOfferta_ModalitaAttivazione_DESCRIZIONE;CondizioniContrattuali_0_TIPOLOGIA_CONDIZIONE;CondizioniContrattuali_0_DESCRIZIONE;CondizioniContrattuali_0_LIMITANTE;CondizioniContrattuali_1_TIPOLOGIA_CONDIZIONE;CondizioniContrattuali_1_ALTRO;CondizioniContrattuali_1_DESCRIZIONE;CondizioniContrattuali_1_LIMITANTE;CondizioniContrattuali_2_TIPOLOGIA_CONDIZIONE;CondizioniContrattuali_2_DESCRIZIONE;CondizioniContrattuali_2_LIMITANTE;ZoneOfferta_REGIONE_0;ZoneOfferta_REGIONE_1;ZoneOfferta_REGIONE_2;ZoneOfferta_REGIONE_3;ZoneOfferta_REGIONE_4;ZoneOfferta_REGIONE_5;ZoneOfferta_REGIONE_6;ZoneOfferta_REGIONE_7;ZoneOfferta_REGIONE_8;ZoneOfferta_REGIONE_9;ZoneOfferta_REGIONE_10;ZoneOfferta_REGIONE_11;ZoneOfferta_REGIONE_12
03386091205;023912DSFML01XX-2304ECOLOGK24MOR;03;01;03;01;01;02;03;Accendi ECOLOGICA Luce e Gas 24 Mesi Monoraria;L'offerta "Accendi ECOLOGICA Luce e Gas 24 mesi Monoraria" e' dedicata al cliente finale domestico titolare di un Punto di Prelievo in bassa tensione per Uso Domestico e di un Punto di Riconsegna Gas per Uso Domestico. Questa offerta permette di avere l'opzione Energie Rinnovabili, senza alcun costo aggiuntivo per il cliente e permette di avere il prezzo della Luce e del Gas bloccato per 2 anni in fascia monoraria. L'opzione Energie Rinnovabili garantisce al Cliente che tutta l'energia dallo stesso consumata provenga da fonti rinnovabili. Il fornitore provvedera' all'approvvigionamento e all'annullamento delle Garanzie di Origine per la certificazione dell'intero quantitativo di energia elettrica consumata annualmente dal Cliente in conformita' alla delibera ARERA ARG/elt 104/11 s.s.m.i. garantendo la coerenza del contratto di fornitura con la regolazione definita dell'ARERA in materia. Questa offerta permette inoltre di avere il gas "verde 100% CO2 free" perche utilizza la Certificazione di Crediti di Carbonio di Carbonsink. Con questo sistema, le emissioni di carbonio legate alla produzione del gas vengono "compensate" finanziando programmi con un impatto positivo sull'ambiente e lo sviluppo sostenibile del pianeta. Il valore  del corrispettivo a copertura degli oneri netti di approvvigionamento della capacita' e' indicato nella Quota Energia all'interno della Materia prima energia al lordo delle perdite di rete, ed e' pari a quello stabilito dall'ARERA per i clienti del servizio di maggior tutela. Tale corrispettivo sara' ulteriormente maggiorato di un importo pari alle perdite (attualmente del 10%). Tale percentuale di maggiorazione e il corrispettivo stesso seguiranno gli eventuali aggiornamenti previsti da Arera.;24;Zero costi di attivazione e recesso. Zero costi spedizione bolletta. Nessuna garanzia di pagamento se sei Socio Coop Alleanza 3.0 o Unicoop Tirreno o Coop Reno oppure hai scelto come modalit�� di pagamento l���addebito bancario/postale SDD e l���allineamento verso la banca abbia avuto esito positivo e non vi siano insoluti a tuo carico. Se non sei Socio Coop Alleanza 3.0 o Unicoop Tirreno o Coop Reno e non hai scelto come modalit�� di pagamento l���addebito bancario/postale SDD, ��o pur avendola scelta, vi siano insoluti a tuo carico oppure l���allineamento verso la banca ha avuto esito negativo non facendo risultare attivo l���addebito ci saranno 25��� di garanzia di pagamento;02;800208468;https://www.accendilucegas.it;01/04/2023_00:00:00;30/04/2023_23:59:59;023912DSFML01XX-2304ECOLOGK24MOD;023912DSFML01XX-2304ECOLOGK24GND;01;02;04;99;Cessione del credito;04;Tale offerta �� da considerarsi pluriennale in considerazione del fatto che i prezzi applicati come riportati nelle CTE hanno validit�� di 24 mesi salvo recesso. Per tutti i dettagli si prega di consultare la documentazione contrattuale disponibile sul sito o prima della sottoscrizione dell���offerta;02;Cessione del credito Coop Alleanza 3.0;Sconto applicato qualora il pagamento della bolletta avvenga mediante la cessione del credito e sia operata la compensazione sul libretto sociale di prestito di Coop Alleanza 3.0;03;01;99;Sconto applicato qualora il pagamento della bolletta avvenga mediante la cessione del credito e sia operata la compensazione sul libretto sociale di prestito di Coop Alleanza 3.0;01;01;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03386091205;023912DSVFL01XX-2304AGILEECOLELR;03;01;03;02;01;02;03;Accendi Casa AGILE ECOLOGICA Luce e Gas;L'offerta "Accendi Casa AGILE ECOLOGICA Luce e Gas" e' dedicata al Cliente finale domestico titolare di un contatore luce e di un contatore gas per Uso Domestico. Si tratta di un' offerta a prezzo variabile e il costo della materia prima segue l'andamento del mercato all'ingrosso. Questa offerta permette di avere l'opzione Energie Rinnovabili, senza alcun costo aggiuntivo per il cliente e garantisce he tutta l'energia dallo stesso consumata provenga da fonti rinnovabili. Il fornitore provvedera' all'approvvigionamento e all'annullamento delle Garanzie di Origine per la certificazione dell'intero quantitativo di energia elettrica consumata annualmente dal Cliente in conformita' alla delibera ARERA ARG/elt 104/11 s.s.m.i. garantendo la coerenza del contratto di fornitura con la regolazione definita dell'ARERA in materia. Il valore  del corrispettivo a copertura degli oneri netti di approvvigionamento della capacita' e' indicato nella Quota Energia all'interno della Materia prima energia al lordo delle perdite di rete, ed e' pari a quello stabilito dall'ARERA per i clienti del servizio di maggior tutela. Tale corrispettivo sara' ulteriormente maggiorato di un importo pari alle perdite (attualmente del 10%). Tale percentuale di maggiorazione e il corrispettivo stesso seguiranno gli eventuali aggiornamenti previsti da Arera.;12;Zero costi di attivazione e recesso. Zero costi spedizione bolletta. Nessuna garanzia di pagamento se sei Socio Coop Alleanza 3.0 o Unicoop Tirreno o Coop Reno oppure hai scelto come modalit�� di pagamento l���addebito bancario/postale SDD e l���allineamento verso la banca abbia avuto esito positivo e non vi siano insoluti a tuo carico. Se non sei Socio Coop Alleanza 3.0 o Unicoop Tirreno o Coop Reno e non hai scelto come modalit�� di pagamento l���addebito bancario/postale SDD, ��o pur avendola scelta, vi siano insoluti a tuo carico oppure l���allineamento verso la banca ha avuto esito negativo non facendo risultare attivo l���addebito ci saranno 25��� di garanzia di pagamento;02;800208468;https://www.accendilucegas.it;01/04/2023_00:00:00;30/04/2023_23:59:59;023912DSVFL01XX-2304AGILEECOLELD;023912DSVML01XX-2304AGILEECOLGND;01;02;04;99;Cessione del credito;04;Le presenti condizioni tecniche economiche saranno considerate valide per 12 mesi decorrenti dalla data di attivazione della fornitura e si intenderanno prorogate per altri 12 mesi, e cos�� sempre in assenza di alcuna nuova proposta, qualora ALG, entro la scadenza dei 12 mesi, non abbia inviato al cliente alcuna nuova proposta. Per tutti i dettagli si prega di consultare la documentazione contrattuale disponibile sul sito o prima della sottoscrizione dell���offerta;02;Cessione del credito Coop Alleanza 3.0;Sconto applicato qualora il pagamento della bolletta avvenga mediante la cessione del credito e sia operata la compensazione sul libretto sociale di prestito di Coop Alleanza 3.0;03;01;99;Sconto applicato qualora il pagamento della bolletta avvenga mediante la cessione del credito e sia operata la compensazione sul libretto sociale di prestito di Coop Alleanza 3.0;01;01;6;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03386091205;023912DSFFL01XX-2304ECOLOGK24BIR;03;01;03;01;01;02;03;Accendi ECOLOGICA Luce e Gas 24 Mesi Bioraria;L'offerta "Accendi ECOLOGICA Luce e Gas 24 mesi Bioraria" e' dedicata al cliente finale domestico titolare di un Punto di Prelievo in bassa tensione per Uso Domestico e di un Punto di Riconsegna Gas per Uso Domestico. Questa offerta permette di avere l'opzione Energie Rinnovabili, senza alcun costo aggiuntivo per il cliente e permette di avere il prezzo della Luce e del Gas bloccato per 2 anni in fascia bioraria. L'opzione Energie Rinnovabili garantisce al Cliente che tutta l'energia dallo stesso consumata provenga da fonti rinnovabili. Il fornitore provvedera' all'approvvigionamento e all'annullamento delle Garanzie di Origine per la certificazione dell'intero quantitativo di energia elettrica consumata annualmente dal Cliente in conformita' alla delibera ARERA ARG/elt 104/11 s.s.m.i. garantendo la coerenza del contratto di fornitura con la regolazione definita dell'ARERA in materia. Questa offerta permette inoltre di avere il gas "verde 100% CO2 free" perche utilizza la Certificazione di Crediti di Carbonio di Carbonsink. Con questo sistema, le emissioni di carbonio legate alla produzione del gas vengono "compensate" finanziando programmi con un impatto positivo sull'ambiente e lo sviluppo sostenibile del pianeta. Il valore  del corrispettivo a copertura degli oneri netti di approvvigionamento della capacita' e' indicato nella Quota Energia all'interno della Materia prima energia al lordo delle perdite di rete, ed e' pari a quello stabilito dall'ARERA per i clienti del servizio di maggior tutela. Tale corrispettivo sara' ulteriormente maggiorato di un importo pari alle perdite (attualmente del 10%). Tale percentuale di maggiorazione e il corrispettivo stesso seguiranno gli eventuali aggiornamenti previsti da Arera.;24;Zero costi di attivazione e recesso. Zero costi spedizione bolletta. Nessuna garanzia di pagamento se sei Socio Coop Alleanza 3.0 o Unicoop Tirreno o Coop Reno oppure hai scelto come modalit�� di pagamento l���addebito bancario/postale SDD e l���allineamento verso la banca abbia avuto esito positivo e non vi siano insoluti a tuo carico. Se non sei Socio Coop Alleanza 3.0 o Unicoop Tirreno o Coop Reno e non hai scelto come modalit�� di pagamento l���addebito bancario/postale SDD, ��o pur avendola scelta, vi siano insoluti a tuo carico oppure l���allineamento verso la banca ha avuto esito negativo non facendo risultare attivo l���addebito ci saranno 25��� di garanzia di pagamento;02;800208468;https://www.accendilucegas.it;01/04/2023_00:00:00;30/04/2023_23:59:59;023912DSFFL01XX-2304ECOLOGK24BID;023912DSFML01XX-2304ECOLOGK24GND;01;02;04;99;Cessione del credito;04;Tale offerta �� da considerarsi pluriennale in considerazione del fatto che i prezzi applicati come riportati nelle CTE hanno validit�� di 24 mesi salvo recesso. Per tutti i dettagli si prega di consultare la documentazione contrattuale disponibile sul sito o prima della sottoscrizione dell���offerta;02;Cessione del credito Coop Alleanza 3.0;Sconto applicato qualora il pagamento della bolletta avvenga mediante la cessione del credito e sia operata la compensazione sul libretto sociale di prestito di Coop Alleanza 3.0;03;01;99;Sconto applicato qualora il pagamento della bolletta avvenga mediante la cessione del credito e sia operata la compensazione sul libretto sociale di prestito di Coop Alleanza 3.0;01;01;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02078510423;001046DSVFL01XXGIUD1AB1231230301;03;01;;01;01;02;03;GIUSTA LUCE BIORARIA E GAS 2.0;Con GIUSTA LUCE E GAS Scegli una tariffa sempre allineata con l���andamento dei prezzi di mercato, per te uno sconto di 30 ��� per il primo anno (sia per il Gas che per la Luce), accreditato mensilmente in bolletta in proporzione al periodo fatturato e un ulteriore sconto di 5 ��� per il primo anno subordinato all���attivazione della domiciliazione bancaria o postale dei pagamenti (sia per il Gas che per la Luce). | Opzione 12 mesi (Luce): emissione di fatture con frequenza mensile  | Opzione Inverno (Gas): emissione di fatture a Gennaio, Febbraio, Marzo, Aprile, Giugno, Agosto, Ottobre, Novembre e Dicembre | Total Green: utilizzo gratuito di energia elettrica prodotta da fonti rinnovabili, bollette in formato elettronico, aiutando cos�� a consumare meno carta.;12;NO;;800992627;https://www.asteaenergia.it/;13/03/2023_17:00:00;03/05/2023_23:59:59;001046ESVFL01XXGIUE1AB1231230301;001046GSVML01XXGIUG1AB1231230301;99;04;03;02;;01;Attivazione;02;;;;;;;;;;;NO;04;02;03;04;05;Bonifico bancario,Lottoma;01;08;041;;;;;;;;;;;;;;;;;;;;;;;;;;;
02078510423;001046DSVML01XXDIND1A01231230301;03;01;;01;01;02;03;DINAMICA LUCE E GAS;Con Dinamica Luce e Gas Scegli una tariffa sempre allineata con l���andamento dei prezzi di mercato, per te uno sconto del 20% per il primo anno e del 40% il secondo anno con l'attivazione della domiciliazione bancaria o postale dei pagamenti e l���adesione al servizio Bollett@click | Opzione 12 mesi: emissione di fatture con frequenza mensile | Total Green: utilizzo gratuito di energia prodotta da fonti rinnovabili, bollette in formato elettronico, aiutando cos�� a consumare meno carta.;24;NO;;800992627;https://www.asteaenergia.it/;13/03/2023_17:00:00;03/05/2023_23:59:59;001046ESVML01XXDINE1A01231230301;001046GSVML01XXDING1A01231230301;99;04;03;02;;01;Attivazione;02;;;;;;;;;;;NO;04;02;03;04;05;Bonifico bancario,Lottoma;01;08;041;;;;;;;;;;;;;;;;;;;;;;;;;;;
06289781004;001714DSFOL03XXE12FS000030000000;03;01;03;01;;;;Energia 3.0 Light;Il prezzo più conveniente di ENGIE solo per i clienti web;-1;Domiciliazione obbligatoria;02;800901199;https://casa.engie.it;30/03/2023_00:00:00;11/04/2023_23:59:00;001714ESFOL03XXE12FS000030000000;001714GSFML03XXE12FS000030000000;;;;;;04;Offerta Pluriennale;02;;;;;;;;;;;;;;;;;;;;;01;https://casa.engie.it;01;;;;;;;;;;;;;;;;;;;;;;;;
06289781004;001714DSVFL03XXPFLES000030000000;03;02;;02;;;;eFLEX;L'offerta di ENGIE per la luce e gas della tua attività che ti garantisce un prezzo sempre in linea con il mercato;-1;NESSUNA GARANZIA;02;800901199;https://imprese.engie.it/professionisti-commercianti;09/03/2023_00:00:00;11/04/2023_23:59:00;001714ESVFL03XXPFLES000030000000;001714GSVML03XXPFLES000030000000;01;04;02;;;04;Offerta Pluriennale;02;;;;;;;;;;12;;;;;;;;;;;01;https://imprese.engie.it/professionisti-commercianti;;;;;;;;;;;;;;;;;;;;;;;;;
06289781004;001714DSVFL03XXAGICS000030000000;03;01;03;02;;;;Energia Agile;Energia Agile;-1;Domiciliazione obbligatoria;02;800901199;https://casa.engie.it;09/03/2023_05:30:00;11/04/2023_23:59:00;001714ESVFL03XXAGICS000030000000;001714GSVML03XXAGICS000030000000;;;;;;04;Offerta Pluriennale;02;;;;;;;;;;12;;;;;;;;;;;01;https://casa.engie.it;01;;;;;;;;;;;;;;;;;;;;;;;;
06289781004;001714DSFML03XXE12MS000030000000;03;01;03;01;;;;Energia 3.0 Light MONO;Il prezzo più conveniente di ENGIE solo per i clienti web;-1;Domiciliazione obbligatoria;02;800901199;https://casa.engie.it;30/03/2023_00:00:00;11/04/2023_23:59:00;001714ESFML03XXE12MS000030000000;001714GSFML03XXE12MS000030000000;;;;;;04;Offerta Pluriennale;02;;;;;;;;;;;;;;;;;;;;;01;https://casa.engie.it;01;;;;;;;;;;;;;;;;;;;;;;;;
04096150281;021406DSVML07XXCACOSMBV01_000000;03;01;;02;01;03;04;SMART VARIABILE BIFUEL;La presente offerta e' applicabile a tutti i Clienti domestici. L'offerta e' riservata a tutti coloro che sono gia' clienti Invent per aver acquistato un prodotto della linea Smart.;12;cauzione come da contratto;99;0421307393;www.ecocasalucegas.it;23/12/2022_23:59:00;30/04/2023_00:00:00;021406ESVML01XXCACOSMBV01L_00000;021406GSVML07XXCACOSMBV01G_00000;99;04;01;;;;;;;;;;;;;;;14;NO;;;;;;bonifiico bancario;;;;;https://www.ecocasalucegas.it/lucegas-famiglia/;;email o incaricato;01;La presente offerta e' applicabile a tutti i Clienti domestici. L'offerta e' riservata a tutti coloro che sono gia' clienti Invent per aver acquistato un prodotto della linea Smart.;01;99;insolvenza;All'atto dell'emissione di una fattura, qualora risultino fatture precedenti non pagate, Invent si riserva il diritto di non procedere al riconoscimento del bonus nella fattura in emissione.;01;03;In caso di recesso per cambio venditore da parte del Cliente o qualora il Cliente sottoscriva una differente offerta di Invent, Invent non applichera' gli eventuali sconti residui.;01;;;;;;;;;;;;;
