IdentificativiOfferta_PIVA_UTENTE;IdentificativiOfferta_COD_OFFERTA;DettaglioOfferta_TIPO_MERCATO;DettaglioOfferta_TIPO_CLIENTE;DettaglioOfferta_DOMESTICO_RESIDENTE;DettaglioOfferta_TIPO_OFFERTA;DettaglioOfferta_TIPOLOGIA_ATT_CONTR_0;DettaglioOfferta_TIPOLOGIA_ATT_CONTR_1;DettaglioOfferta_TIPOLOGIA_ATT_CONTR_2;DettaglioOfferta_NOME_OFFERTA;DettaglioOfferta_DESCRIZIONE;DettaglioOfferta_DURATA;DettaglioOfferta_GARANZIE;DettaglioOfferta_ModalitaAttivazione_MODALITA;DettaglioOfferta_Contatti_TELEFONO;DettaglioOfferta_Contatti_URL_SITO_VENDITORE;DettaglioOfferta_Contatti_URL_OFFERTA;RiferimentiPrezzoEnergia_IDX_PREZZO_ENERGIA;ValiditaOfferta_DATA_INIZIO;ValiditaOfferta_DATA_FINE;OffertaDual_OFFERTE_CONGIUNTE_EE;OffertaDual_OFFERTE_CONGIUNTE_GAS;MetodoPagamento_0_MODALITA_PAGAMENTO;MetodoPagamento_1_MODALITA_PAGAMENTO;MetodoPagamento_1_DESCRIZIONE;MetodoPagamento_2_MODALITA_PAGAMENTO;MetodoPagamento_3_MODALITA_PAGAMENTO;CondizioniContrattuali_TIPOLOGIA_CONDIZIONE;CondizioniContrattuali_DESCRIZIONE;CondizioniContrattuali_LIMITANTE;Sconto_NOME;Sconto_DESCRIZIONE;Sconto_VALIDITA;Sconto_IVA_SCONTO;Sconto_Condizione_CONDIZIONE_APPLICAZIONE;Sconto_Condizione_DESCRIZIONE_CONDIZIONE;Sconto_PrezziSconto_TIPOLOGIA;Sconto_PrezziSconto_UNITA_MISURA;Sconto_PrezziSconto_PREZZO;DettaglioOfferta_TIPOLOGIA_ATT_CONTR;MetodoPagamento_MODALITA_PAGAMENTO;MetodoPagamento_3_DESCRIZIONE;DettaglioOfferta_OFFERTA_SINGOLA;DettaglioOfferta_ModalitaAttivazione_DESCRIZIONE;ZoneOfferta_REGIONE_0;ZoneOfferta_REGIONE_1;ZoneOfferta_REGIONE_2;ZoneOfferta_REGIONE_3;ZoneOfferta_REGIONE_4;ZoneOfferta_REGIONE_5;ZoneOfferta_REGIONE_6;ZoneOfferta_REGIONE_7;ZoneOfferta_REGIONE_8;ZoneOfferta_REGIONE_9;ZoneOfferta_REGIONE_10;ZoneOfferta_REGIONE_11;ZoneOfferta_REGIONE_12;DettaglioOfferta_ModalitaAttivazione_MODALITA_0;DettaglioOfferta_ModalitaAttivazione_MODALITA_1
03386091205;023912DSVFL01XX-2307AGILEECOLELR;03;01;03;02;01;02;03;Accendi Casa AGILE ECOLOGICA Luce e Gas;L'offerta "Accendi Casa Agile Ecologica Luce e Gas" e' dedicata al Cliente finale domestico titolare di un contatore luce e di un contatore gas per Uso Domestico. Si tratta di un'offerta a prezzo variabile e il costo della materia prima segue l'andamento del mercato all'ingrosso. Questa offerta garantisce al Cliente che tutta l���energia dallo stesso consumata provenga da fonti rinnovabili, mediante l���acquisto e annullamento delle Garanzie di origine in conformit�� alla delibera ARERA ARG/elt 104/11 s.s.m.i., e per il gas naturale di compensare le emissioni di CO2 tramite l'acquisto di certificati VERs (Voluntary Emission Reductions). I certificati di compensazione VERs (Voluntary Emission Reductions) vengono acquistati a copertura dell'interno fabbisogno annuale di gas naturale del Cliente. I certificati di compensazione VERs finanziano progetti di sostenibilit��, che hanno l���obiettivo di compensare la CO2 emessa nell���ambiente producendo combustibili rinnovabili come il BioGas, ovvero il gas prodotto dalla fermentazione di rifiuti organici. In riferimento alla fornitura luce il valore del corrispettivo a copertura degli oneri netti di approvvigionamento della capacita' e' indicato nella Quota Energia all'interno della Materia prima energia al lordo delle perdite di rete, ed e' pari a quello stabilito dall'ARERA per i clienti del servizio di maggior tutela. Tale corrispettivo sara' ulteriormente maggiorato di un importo pari alle perdite (attualmente del 10%). Tale percentuale di maggiorazione e il corrispettivo stesso seguiranno gli eventuali aggiornamenti previsti da Arera.;12;Zero costi di attivazione e recesso. Zero costi spedizione bolletta. Nessuna garanzia di pagamento se sei Socio Coop Alleanza 3.0 o Unicoop Tirreno o Coop Reno oppure hai scelto come modalit�� di pagamento l���addebito bancario/postale SDD e l���allineamento verso la banca abbia avuto esito positivo e non vi siano insoluti a tuo carico. Se non sei Socio Coop Alleanza 3.0 o Unicoop Tirreno o Coop Reno e non hai scelto come modalit�� di pagamento l���addebito bancario/postale SDD,  o pur avendola scelta, vi siano insoluti a tuo carico oppure l���allineamento verso la banca ha avuto esito negativo non facendo risultare attivo l���addebito ci saranno 25��� di garanzia di pagamento;02;800208468;https://www.accendilucegas.it;https://www.accendilucegas.it;12;01/07/2023_00:00:00;31/07/2023_23:59:59;023912DSVFL01XX-2307AGILEECOLELD;023912DSVML01XX-2307AGILEECOLGND;04;99;Cessione del credito;02;01;04;Le presenti condizioni tecniche economiche saranno considerate valide per 12 mesi decorrenti dalla data di attivazione della fornitura. Qualora ALG, entro la scadenza dei 12 mesi, non abbia inviato al cliente alcuna nuova proposta le presenti condizioni tecniche economiche si intenderanno prorogate per altri 12 mesi, e cos�� sempre in assenza di alcuna nuova proposta, di 12 mesi in 12 mesi per tutta la durata del contratto. Per tutti i dettagli si prega di consultare la documentazione contrattuale disponibile sul sito o prima della sottoscrizione dell���offerta;02;Cessione del credito Coop Alleanza 3.0;Sconto applicato qualora il pagamento della bolletta avvenga mediante la cessione del credito e sia operata la compensazione sul libretto sociale di prestito di Coop Alleanza 3.0;03;01;99;Sconto applicato qualora il pagamento della bolletta avvenga mediante la cessione del credito e sia operata la compensazione sul libretto sociale di prestito di Coop Alleanza 3.0;01;01;6;;;;;;;;;;;;;;;;;;;;
03386091205;023912DSFML01XX-2307ECOLOGK24MOR;03;01;03;01;01;02;03;Accendi ECOLOGICA Luce e Gas 24 Mesi Monoraria;L'offerta "Accendi Ecologica Luce e Gas 24 mesi��� Monoraria e' dedicata al cliente finale domestico titolare di un Punto di Prelievo in bassa tensione per Uso Domestico e di un Punto di Riconsegna Gas per Uso Domestico. Questa offerta permette di avere il prezzo della Luce e del Gas bloccato per 2 anni in fascia monoraria e garantisce al Cliente che tutta l���energia dallo stesso consumata provenga da fonti rinnovabili, mediante l���acquisto e annullamento delle Garanzie di origine in conformit�� alla delibera ARERA ARG/elt 104/11 s.s.m.i., e per il gas naturale di compensare le emissioni di CO2 tramite l'acquisto di certificati VERs (Voluntary Emission Reductions). I certificati di compensazione VERs (Voluntary Emission Reductions) vengono acquistati a copertura dell'interno fabbisogno annuale di gas naturale del Cliente. I certificati di compensazione VERs finanziano progetti di sostenibilit��, che hanno l���obiettivo di compensare la CO2 emessa nell���ambiente producendo combustibili rinnovabili come il BioGas, ovvero il gas prodotto dalla fermentazione di rifiuti organici. In riferimento alla fornitura luce il valore del corrispettivo a copertura degli oneri netti di approvvigionamento della capacita' e' indicato nella Quota Energia all'interno della Materia prima energia al lordo delle perdite di rete, ed e' pari a quello stabilito dall'ARERA per i clienti del servizio di maggior tutela. Tale corrispettivo sara' ulteriormente maggiorato di un importo pari alle perdite (attualmente del 10%). Tale percentuale di maggiorazione e il corrispettivo stesso seguiranno gli eventuali aggiornamenti previsti da Arera.;24;Zero costi di attivazione e recesso. Zero costi spedizione bolletta. Nessuna garanzia di pagamento se sei Socio Coop Alleanza 3.0 o Unicoop Tirreno o Coop Reno oppure hai scelto come modalit�� di pagamento l���addebito bancario/postale SDD e l���allineamento verso la banca abbia avuto esito positivo e non vi siano insoluti a tuo carico. Se non sei Socio Coop Alleanza 3.0 o Unicoop Tirreno o Coop Reno e non hai scelto come modalit�� di pagamento l���addebito bancario/postale SDD,  o pur avendola scelta, vi siano insoluti a tuo carico oppure l���allineamento verso la banca ha avuto esito negativo non facendo risultare attivo l���addebito ci saranno 25��� di garanzia di pagamento;02;800208468;https://www.accendilucegas.it;;;01/07/2023_00:00:00;31/07/2023_23:59:59;023912DSFML01XX-2307ECOLOGK24MOD;023912DSFML01XX-2307ECOLOGK24GND;04;99;Cessione del credito;02;01;04;Le presenti condizioni tecniche economiche saranno considerate valide per 24 mesi decorrenti dalla data di attivazione della fornitura. Per tutti i dettagli si prega di consultare la documentazione contrattuale disponibile sul sito o prima della sottoscrizione dell���offerta;02;Cessione del credito Coop Alleanza 3.0;Sconto applicato qualora il pagamento della bolletta avvenga mediante la cessione del credito e sia operata la compensazione sul libretto sociale di prestito di Coop Alleanza 3.0;03;01;99;Sconto applicato qualora il pagamento della bolletta avvenga mediante la cessione del credito e sia operata la compensazione sul libretto sociale di prestito di Coop Alleanza 3.0;01;01;6;;;;;;;;;;;;;;;;;;;;
03386091205;023912DSFFL01XX-2307ECOLOGK24BIR;03;01;03;01;01;02;03;Accendi ECOLOGICA Luce e Gas 24 Mesi Bioraria;L'offerta "Accendi ECOLOGICA Luce e Gas 24 mesi��� Bioraria e' dedicata al cliente finale domestico titolare di un Punto di Prelievo in bassa tensione per Uso Domestico e di un Punto di Riconsegna Gas per Uso Domestico. Questa offerta permette di avere il prezzo della Luce e del Gas bloccato per 2 anni in fascia Bioraria e garantisce al Cliente che tutta l���energia dallo stesso consumata provenga da fonti rinnovabili, mediante l���acquisto e annullamento delle Garanzie di origine in conformit�� alla delibera ARERA ARG/elt 104/11 s.s.m.i., e per il gas naturale di compensare le emissioni di CO2 tramite l'acquisto di certificati VERs (Voluntary Emission Reductions). I certificati di compensazione VERs (Voluntary Emission Reductions) vengono acquistati a copertura dell'interno fabbisogno annuale di gas naturale del Cliente. I certificati di compensazione VERs finanziano progetti di sostenibilit��, che hanno l���obiettivo di compensare la CO2 emessa nell���ambiente producendo combustibili rinnovabili come il BioGas, ovvero il gas prodotto dalla fermentazione di rifiuti organici. In riferimento alla fornitura luce il valore del corrispettivo a copertura degli oneri netti di approvvigionamento della capacita' e' indicato nella Quota Energia all'interno della Materia prima energia al lordo delle perdite di rete, ed e' pari a quello stabilito dall'ARERA per i clienti del servizio di maggior tutela. Tale corrispettivo sara' ulteriormente maggiorato di un importo pari alle perdite (attualmente del 10%). Tale percentuale di maggiorazione e il corrispettivo stesso seguiranno gli eventuali aggiornamenti previsti da Arera.;24;Zero costi di attivazione e recesso. Zero costi spedizione bolletta. Nessuna garanzia di pagamento se sei Socio Coop Alleanza 3.0 o Unicoop Tirreno o Coop Reno oppure hai scelto come modalit�� di pagamento l���addebito bancario/postale SDD e l���allineamento verso la banca abbia avuto esito positivo e non vi siano insoluti a tuo carico. Se non sei Socio Coop Alleanza 3.0 o Unicoop Tirreno o Coop Reno e non hai scelto come modalit�� di pagamento l���addebito bancario/postale SDD,  o pur avendola scelta, vi siano insoluti a tuo carico oppure l���allineamento verso la banca ha avuto esito negativo non facendo risultare attivo l���addebito ci saranno 25��� di garanzia di pagamento;02;800208468;https://www.accendilucegas.it;;;01/07/2023_00:00:00;31/07/2023_23:59:59;023912DSFFL01XX-2307ECOLOGK24BID;023912DSFML01XX-2307ECOLOGK24GND;04;99;Cessione del credito;02;01;04;Le presenti condizioni tecniche economiche saranno considerate valide per 24 mesi decorrenti dalla data di attivazione della fornitura. Per tutti i dettagli si prega di consultare la documentazione contrattuale disponibile sul sito o prima della sottoscrizione dell���offerta;02;Cessione del credito Coop Alleanza 3.0;Sconto applicato qualora il pagamento della bolletta avvenga mediante la cessione del credito e sia operata la compensazione sul libretto sociale di prestito di Coop Alleanza 3.0;03;01;99;Sconto applicato qualora il pagamento della bolletta avvenga mediante la cessione del credito e sia operata la compensazione sul libretto sociale di prestito di Coop Alleanza 3.0;01;01;6;;;;;;;;;;;;;;;;;;;;
06289781004;001714DSVFL06XXPFLES000060000000;03;02;;02;;;;eFLEX;L'offerta di ENGIE per la luce e gas della tua attività che ti garantisce un prezzo sempre in linea con il mercato;-1;NESSUNA GARANZIA;02;800901199;https://imprese.engie.it/professionisti-commercianti;https://imprese.engie.it/professionisti-commercianti;12;22/06/2023_10:10:00;11/07/2023_23:59:00;001714ESVFL06XXPFLES000060000000;001714GSVML06XXPFLES000060000000;02;01;;04;;04;Offerta Pluriennale;02;;;;;;;;;;01;;;;;;;;;;;;;;;;;;;
06289781004;001714DSFFL07XXE12FS000070000000;03;01;03;01;;;;Energia 3.0 Light;Il prezzo più conveniente di ENGIE solo per i clienti web;-1;Domiciliazione obbligatoria;01;800901199;https://casa.engie.it;https://casa.engie.it;;14/06/2023_00:00:00;11/07/2023_23:59:00;001714ESFFL07XXE12FS000070000000;001714GSFML07XXE12FS000070000000;;;;;;04;Offerta Pluriennale;02;;;;;;;;;;01;01;;;;;;;;;;;;;;;;;;
06289781004;001714DSFML07XXE12MS000070000000;03;01;03;01;;;;Energia 3.0 Light MONO;Il prezzo più conveniente di ENGIE solo per i clienti web;-1;Domiciliazione obbligatoria;01;800901199;https://casa.engie.it;https://casa.engie.it;;14/06/2023_00:00:00;11/07/2023_23:59:00;001714ESFML07XXE12MS000070000000;001714GSFML07XXE12MS000070000000;;;;;;04;Offerta Pluriennale;02;;;;;;;;;;01;01;;;;;;;;;;;;;;;;;;
06289781004;001714DSVFL06XXAGICS000060000000;03;01;03;02;;;;Energia Agile;Energia Agile;-1;Domiciliazione obbligatoria;02;800901199;https://casa.engie.it;https://casa.engie.it;12;20/06/2023_15:00:00;11/07/2023_23:59:00;001714ESVFL06XXAGICS000060000000;001714GSVML06XXAGICS000060000000;;;;;;04;Offerta Pluriennale;02;;;;;;;;;;01;01;;;;;;;;;;;;;;;;;;
12874490159;000390DS00L01XXDS002250000000000;03;01;03;02;;;;Next Energy Sunlight;Offerta DUAL che prevede la stipula contemporanea delle due offerte Next Energy Sunlight Luce e Gas;12;Pagamento con SDD o Carta di Credito Ricorrente, in caso di pagamento con altra modalità , possibilità  di richiesta del deposito cauzionale, calcolato ai sensi del TIV;01;800294333;www.sorgenia.it;;12;07/07/2023_00:00:00;13/07/2023_00:00:00;000390DSVFL01XXES002250010000000;000390DSVML01XXGS002247010000000;01;02;;03;99;04;Offerta a prezzo indicizzato;02;;;;;;;;;;99;;Paypal;;;;;;;;;;;;;;;;;
13149000153;000652DSVFL18XX_VVWEBMARDF070723;03;01;03;02;;;;VIVIweb Market Lucegas;L'offerta "VIVIweb Market Lucegas", destinata ai clienti finali domestici, garantisce un prezzo della materia prima differenziato a PSV Day-Ahead per il gas e il PUN su tre fasce per la luce, aggiornato mensilmente secondo il mercato. Ed in più rispetti l'ambiente grazie all'energia verde 100% da fonti rinnovabili.;12;L'offerta non prevede deposito cauzionale in caso di cambio fornitore.;01;800151313;https://www.vivienergia.it/;https://www.vivienergia.it;14;07/07/2023_00:00:00;20/07/2023_23:59:59;000652ESVFL18XX_VVWEBMARDF070723;000652GSVML18XX_VVWEBMARDF070723;;;;;;01;Valido solo per switch.;02;;;;;;;;;;01;01;;NO;Offerta attivabile da web.;08;06;12;07;03;11;01;09;04;10;02;05;16;;
13149000153;000652DSVFL08XX_VIVIPLAND_070723;03;01;03;02;;;;VIVIplan Lucegas;L'offerta "VIVIplan LuceGas" garantisce un prezzo sempre aggiornato, con il costo della materia prima che cambia ogni mese secondo gli indici PSV e PUN, sconto percentuale su quota fissa per entrambi i punti di fornitura, crescente tra il primo e il secondo anno e fatturazione a consumo costante. Inoltre, hai un prezzo diverso per il giorno, per la sera e per la notte, ed in più rispetti l'ambiente grazie all'energia verde 100% da fonti rinnovabili.;24;L'offerta non prevede deposito cauzionale in caso di cambio fornitore.;03;800151313;https://www.vivienergia.it/;https://www.vivienergia.it;14;07/07/2023_00:00:00;07/08/2023_23:59:59;000652ESVFL08XX_VIVIPLAND_070723;000652GSVML08XX_VIVIPLAND_070723;;;;;;01;Valido solo per switch.;02;;;;;;;;;;01;01;;NO;Offerta attivabile da Store.;08;06;12;07;03;11;01;09;04;10;02;05;16;;
