IdentificativiOfferta_PIVA_UTENTE;IdentificativiOfferta_COD_OFFERTA;DettaglioOfferta_TIPO_MERCATO;DettaglioOfferta_TIPO_CLIENTE;DettaglioOfferta_TIPO_OFFERTA;DettaglioOfferta_TIPOLOGIA_ATT_CONTR;DettaglioOfferta_NOME_OFFERTA;DettaglioOfferta_DESCRIZIONE;DettaglioOfferta_DURATA;DettaglioOfferta_GARANZIE;DettaglioOfferta_ModalitaAttivazione_MODALITA_0;DettaglioOfferta_ModalitaAttivazione_MODALITA_1;DettaglioOfferta_ModalitaAttivazione_MODALITA_2;DettaglioOfferta_ModalitaAttivazione_DESCRIZIONE;DettaglioOfferta_Contatti_TELEFONO;DettaglioOfferta_Contatti_URL_SITO_VENDITORE;DettaglioOfferta_Contatti_URL_OFFERTA;RiferimentiPrezzoEnergia_IDX_PREZZO_ENERGIA;ValiditaOfferta_DATA_INIZIO;ValiditaOfferta_DATA_FINE;OffertaDual_OFFERTE_CONGIUNTE_EE;OffertaDual_OFFERTE_CONGIUNTE_GAS;MetodoPagamento_0_MODALITA_PAGAMENTO;MetodoPagamento_1_MODALITA_PAGAMENTO;CondizioniContrattuali_0_TIPOLOGIA_CONDIZIONE;CondizioniContrattuali_0_DESCRIZIONE;CondizioniContrattuali_0_LIMITANTE;CondizioniContrattuali_1_TIPOLOGIA_CONDIZIONE;CondizioniContrattuali_1_DESCRIZIONE;CondizioniContrattuali_1_LIMITANTE;CondizioniContrattuali_2_TIPOLOGIA_CONDIZIONE;CondizioniContrattuali_2_DESCRIZIONE;CondizioniContrattuali_2_LIMITANTE;CondizioniContrattuali_3_TIPOLOGIA_CONDIZIONE;CondizioniContrattuali_3_DESCRIZIONE;CondizioniContrattuali_3_LIMITANTE;DettaglioOfferta_DOMESTICO_RESIDENTE;DettaglioOfferta_ModalitaAttivazione_MODALITA;MetodoPagamento_MODALITA_PAGAMENTO;CondizioniContrattuali_TIPOLOGIA_CONDIZIONE;CondizioniContrattuali_DESCRIZIONE;CondizioniContrattuali_LIMITANTE;MetodoPagamento_2_MODALITA_PAGAMENTO;MetodoPagamento_3_MODALITA_PAGAMENTO;MetodoPagamento_3_DESCRIZIONE;DettaglioOfferta_OFFERTA_SINGOLA;ZoneOfferta_REGIONE_0;ZoneOfferta_REGIONE_1;ZoneOfferta_REGIONE_2;ZoneOfferta_REGIONE_3;ZoneOfferta_REGIONE_4;ZoneOfferta_REGIONE_5;ZoneOfferta_REGIONE_6;ZoneOfferta_REGIONE_7;ZoneOfferta_REGIONE_8;ZoneOfferta_REGIONE_9;ZoneOfferta_REGIONE_10;ZoneOfferta_REGIONE_11;ZoneOfferta_REGIONE_12
01141160992;000099DSVML01XXPULSEEIDX00002307;03;01;02;99;Pulsee Luce e Gas Per Te Dual Index;Offerta a prezzo indicizzato, ideale per un utilizzo prevalente dell'energia elettrica durante la sera e i weekend, con la comodità di gestire luce e gas con un unico fornitore. L'energia fornita alla tua abitazione sarà valorizzata applicando ai tuoi consumi il prezzo indicizzato definito nell'offerta. L'energia elettrica sarà 100% prodotta da fonti rinnovabili. Gli altri corrispettivi potranno subire indicizzazioni e/o variazioni in base a provvedimenti dell'ARERA. Incluso nell'offerta servizio di assistenza dedicata tramite numero verde, Facebook Messenger e Whatsapp;-1;nessuna;01;05;99;Comparison,Call Center;800620520;https://www.pulsee.it;https://pulsee.it/offerte-casa-luce-gas/luce-gas-per-te?tipologia-prezzo=prezzo-indicizzato;01;11/07/2023_12:00:00;05/08/2023_11:59:59;000099DSVFL07XXPULSEEPUM85372307;000099DSVML07XXPULSEEPGA85192307;01;03;01;La data di attivazione della fornitura verrà indicata sulla lettera di benvenuto (welcome letter) che verrà inviata al cliente entro 40 giorni dalla sottoscrizione La fornitura di Energia Elettrica e/o di Gas Naturale è condizionata all'attivazione da parte dei soggetti competenti dei servizi di trasporto e dispacciamento dell'Energia Elettrica e/o di trasporto e di distribuzione del Gas Naturale e avviene compatibilmente con l'intervenuta efficacia dei recessi del Cliente verso precedenti fornitori.;01;02;In caso di recesso esercitato per disattivazione del punto di prelievo, sia per energia elettrica che gas naturale il Cliente è tenuto a inviare al fornitore comunicazione scritta a mezzo raccomandata con un preavviso di almeno 1 (uno) mese i rispetto alla decorrenza della disattivazione;01;03;il Cliente può esercitare il diritto di recesso per ripensamento entro 14 giorni dalla data di conclusione del contratto, anche per una sola fornitura, dandone comunicazione al Fornitore a mezzo lettera raccomandata AR, via email a assistenzaclienti.it@axpo.com o via PEC utilizzando l'apposito template messo a disposizione dal Fornitore e scaricabile dal sito internet. Nel caso di recesso per cambio venditore il Cliente rilascia al Fornitore apposita procura a recedere in suo nome e per suo conto dal contratto di fornitura con il fornitore uscente. Nel caso in cui intenda cambiare fornitore, il Cliente domestico può recedere in qualunque momento e senza oneri dal Contratto. Il nuovo fornitore è tenuto all'invio di apposita comunicazione al Sistema Informativo Integrato - SII Nel caso di recesso per motivi diversi dal cambio fornitore (ad esempio per disattivazione del punto), il Cliente invierà comunicazione di recesso nelle forme e con le modalità previste dall'articolo 20 (comunicazioni) al Fornitore. Qualora comunicato entro il giorno 10 del mese di fornitura (mese M), lo switching sarà efficace a partire dal primo giorno del mese successivo (mese M+1). In caso di switching comunicato oltre il giorno 10 del mese di fornitura (mese M), il recesso sarà efficace a partire dal primo giorno del secondo mese di fornitura successivo (M+2). In ogni caso il Fornitore ha facoltà di recedere dal Contratto, per qualunque motivo, dandone comunicazione al Cliente mediante raccomandata, con un termine di preavviso non inferiore a 6 (sei) mesi.;01;04;Il Contratto ha durata indeterminata;02;;;;;;;;;;;;;;;;;;;;;;;
01141160992;000099DSFML01XXPULSEEFIX00022307;03;01;01;99;Pulsee Luce e Gas Per Te Dual Fix;Offerta a prezzo fisso, ideale per un utilizzo prevalente dell'energia elettrica durante la sera e i weekend, con la comodità di gestire luce e gas con un unico fornitore. L'energia fornita alla tua abitazione sarà valorizzata applicando ai tuoi consumi il prezzo fisso definito nell'offerta e invariabile per 24 mesi di fornitura. A partire dal 25 mese al prezzo della Componente Energia sarà applicato il valore della media aritmetica mensile dei valori orari del PUN  in riferimento alle ore che costituiscono ciascuna fascia, maggiorato di un corrispettivo a copertura delle attività sul mercato all���ingrosso definito dal Fornitore nell'offerta. Il ���PUN Medio Fasce��� sarà determinato per ognuna delle fasce F1, F2, F3 (o F2-3) come media aritmetica mensile dei valori orari del PUN, come pubblicati sul sito del GME S.p.A., nelle ore che costituiscono ciascuna fascia (es. per la fascia F1, dalle 8 alle 19 dei giorni dal lunedì al venerdì non festivi, verranno sommati i valori orari del PUN e la somma risultante verrà divisa per il numero di ore mensili della fascia F1 nel mese). Al prezzo della Componente Gas sarà applicato il valore della media aritmetica dell���indice PSBIL nel mese di riferimento, maggiorato di un corrispettivo a copertura delle attività sul mercato all���ingrosso definito dal Fornitore nell'offerta. Il PSBIL, ���Prezzo di sbilanciamento giornaliero in acquisto���, è definito all���art. 5 dell���Allegato A alla deliberazione 312/2016/R/gas e s.m.i. - Testo Integrato del Bilanciamento ��� e calcolato con riferimento ai dati funzionali alla determinazione del prezzo di sbilanciamento pubblicati sul Sito Internet del Gestore dei Mercati Energetici www.mercatoelettrico.org. Tale prezzo è adeguato in fattura al PCS della località nella quale si trova la fornitura, in funzione del parametro PCS (GJ/Smc) standard pari a 0,03852 GJ/Smc. Incluso nell'offerta servizio di assistenza dedicata tramite numero verde, Facebook Messenger e Whatsapp.;-1;nessuna;01;05;99;Comparison,Call Center;800620520;https://www.pulsee.it;https://pulsee.it/offerte-casa-luce-gas/luce-gas-per-te;;11/07/2023_12:00:00;05/08/2023_11:59:59;000099ESFFL07XXPULSEEFIX84922307;000099GSFML07XXPULSEEFIX84942307;03;01;01;La data di attivazione della fornitura verrà indicata sulla lettera di benvenuto (welcome letter) che verrà inviata al cliente entro 40 giorni dalla sottoscrizione La fornitura di Energia Elettrica e/o di Gas Naturale è condizionata all'attivazione da parte dei soggetti competenti dei servizi di trasporto e dispacciamento dell'Energia Elettrica e/o di trasporto e di distribuzione del Gas Naturale e avviene compatibilmente con l'intervenuta efficacia dei recessi del Cliente verso precedenti fornitori.;01;02;In caso di recesso esercitato per disattivazione del punto di prelievo, sia per energia elettrica che gas naturale il Cliente è tenuto a inviare al fornitore comunicazione scritta a mezzo raccomandata con un preavviso di almeno 1 (uno) mese i rispetto alla decorrenza della disattivazione;01;03;il Cliente può esercitare il diritto di recesso per ripensamento entro 14 giorni dalla data di conclusione del contratto, anche per una sola fornitura, dandone comunicazione al Fornitore a mezzo lettera raccomandata AR, via email a assistenzaclienti.it@axpo.com o via PEC utilizzando l'apposito template messo a disposizione dal Fornitore e scaricabile dal sito internet. Nel caso di recesso per cambio venditore il Cliente rilascia al Fornitore apposita procura a recedere in suo nome e per suo conto dal contratto di fornitura con il fornitore uscente. Nel caso in cui intenda cambiare fornitore, il Cliente domestico può recedere in qualunque momento e senza oneri dal Contratto. Il nuovo fornitore è tenuto all'invio di apposita comunicazione al Sistema Informativo Integrato - SII Nel caso di recesso per motivi diversi dal cambio fornitore (ad esempio per disattivazione del punto), il Cliente invierà comunicazione di recesso nelle forme e con le modalità previste dall'articolo 20 (comunicazioni) al Fornitore. Qualora comunicato entro il giorno 10 del mese di fornitura (mese M), lo switching sarà efficace a partire dal primo giorno del mese successivo (mese M+1). In caso di switching comunicato oltre il giorno 10 del mese di fornitura (mese M), il recesso sarà efficace a partire dal primo giorno del secondo mese di fornitura successivo (M+2). In ogni caso il Fornitore ha facoltà di recedere dal Contratto, per qualunque motivo, dandone comunicazione al Cliente mediante raccomandata, con un termine di preavviso non inferiore a 6 (sei) mesi.;01;04;Il Contratto ha durata indeterminata;02;;;;;;;;;;;;;;;;;;;;;;;
01141160992;000099DSVML01XXPULSEELIM00002307;03;01;02;99;Pulsee Limit.e Dual Index;Attivando il nuovo prodotto LIMIT.E ti proteggiamo dai rincari del mercato, fissando un tetto al prezzo della tua materia energia per i primi 12 mesi. Con la formula indicizzato, potrai godere dei momenti di ribasso del mercato con la sicurezza che non pagherai oltre il valore limit.e indicato in fase di attivazione. Ideale per un utilizzo dell'energia durante tutta la giornata, senza orari particolari. L'energia fornita alla tua abitazione sarà 100% prodotta da fonti rinnovabili e valorizzata applicando ai tuoi consumi il prezzo indicizzato definito nell'offerta. Gli altri corrispettivi potranno subire indicizzazioni e/o variazioni in base a provvedimenti dell'ARERA. Incluso nell'offerta servizio di assistenza dedicata tramite numero verde, Facebook Messenger e Whatsapp.;-1;nessuna;01;05;99;Comparison,Call Center;800620520;https://www.pulsee.it;https://pulsee.it/offerte-casa-luce-gas/;01;11/07/2023_12:00:00;05/08/2023_11:59:59;000099DSVML07XXPULSEEPUB85512307;000099DSVML07XXPULSEEPGA85182307;01;03;01;La data di attivazione della fornitura verrà indicata sulla lettera di benvenuto (welcome letter) che verrà inviata al cliente entro 40 giorni dalla sottoscrizione La fornitura di Energia Elettrica e/o di Gas Naturale è condizionata all'attivazione da parte dei soggetti competenti dei servizi di trasporto e dispacciamento dell'Energia Elettrica e/o di trasporto e di distribuzione del Gas Naturale e avviene compatibilmente con l'intervenuta efficacia dei recessi del Cliente verso precedenti fornitori.;01;02;In caso di recesso esercitato per disattivazione del punto di prelievo, sia per energia elettrica che gas naturale il Cliente è tenuto a inviare al fornitore comunicazione scritta a mezzo raccomandata con un preavviso di almeno 1 (uno) mese i rispetto alla decorrenza della disattivazione;01;03;il Cliente può esercitare il diritto di recesso per ripensamento entro 14 giorni dalla data di conclusione del contratto, anche per una sola fornitura, dandone comunicazione al Fornitore a mezzo lettera raccomandata AR, via email a assistenzaclienti.it@axpo.com o via PEC utilizzando l'apposito template messo a disposizione dal Fornitore e scaricabile dal sito internet. Nel caso di recesso per cambio venditore il Cliente rilascia al Fornitore apposita procura a recedere in suo nome e per suo conto dal contratto di fornitura con il fornitore uscente. Nel caso in cui intenda cambiare fornitore, il Cliente domestico può recedere in qualunque momento e senza oneri dal Contratto. Il nuovo fornitore è tenuto all'invio di apposita comunicazione al Sistema Informativo Integrato - SII Nel caso di recesso per motivi diversi dal cambio fornitore (ad esempio per disattivazione del punto), il Cliente invierà comunicazione di recesso nelle forme e con le modalità previste dall'articolo 20 (comunicazioni) al Fornitore. Qualora comunicato entro il giorno 10 del mese di fornitura (mese M), lo switching sarà efficace a partire dal primo giorno del mese successivo (mese M+1). In caso di switching comunicato oltre il giorno 10 del mese di fornitura (mese M), il recesso sarà efficace a partire dal primo giorno del secondo mese di fornitura successivo (M+2). In ogni caso il Fornitore ha facoltà di recedere dal Contratto, per qualunque motivo, dandone comunicazione al Cliente mediante raccomandata, con un termine di preavviso non inferiore a 6 (sei) mesi.;01;04;Il Contratto ha durata indeterminata;02;;;;;;;;;;;;;;;;;;;;;;;
01141160992;000099DSVML01XXPULSEEIDX00012307;03;01;02;99;Pulsee Luce e Gas Relax Dual Index;Offerta a prezzo indicizzato, ideale per un utilizzo dell'energia durante tutta la giornata, senza orari particolari, con la comodità di gestire luce e gas con un unico fornitore. L'energia fornita alla tua abitazione sarà valorizzata applicando ai tuoi consumi il prezzo indicizzato definito nell'offerta. L'energia elettrica sarà 100% prodotta da fonti rinnovabili Gli altri corrispettivi potranno subire indicizzazioni e/o variazioni in base a provvedimenti dell'ARERA. Incluso nell'offerta servizio di assistenza dedicata tramite numero verde, Facebook Messenger e Whatsapp;-1;nessuna;01;05;99;Comparison,Call Center;800620520;https://www.pulsee.it;https://pulsee.it/offerte-casa-luce-gas/luce-gas-relax?tipologia-prezzo=prezzo-indicizzato;01;11/07/2023_12:00:00;05/08/2023_11:59:59;000099DSVML07XXPULSEEPUB85382307;000099DSVML07XXPULSEEPGA85182307;01;03;01;La data di attivazione della fornitura verrà indicata sulla lettera di benvenuto (welcome letter) che verrà inviata al cliente entro 40 giorni dalla sottoscrizione La fornitura di Energia Elettrica e/o di Gas Naturale è condizionata all'attivazione da parte dei soggetti competenti dei servizi di trasporto e dispacciamento dell'Energia Elettrica e/o di trasporto e di distribuzione del Gas Naturale e avviene compatibilmente con l'intervenuta efficacia dei recessi del Cliente verso precedenti fornitori.;01;02;In caso di recesso esercitato per disattivazione del punto di prelievo, sia per energia elettrica che gas naturale il Cliente è tenuto a inviare al fornitore comunicazione scritta a mezzo raccomandata con un preavviso di almeno 1 (uno) mese i rispetto alla decorrenza della disattivazione;01;03;il Cliente può esercitare il diritto di recesso per ripensamento entro 14 giorni dalla data di conclusione del contratto, anche per una sola fornitura, dandone comunicazione al Fornitore a mezzo lettera raccomandata AR, via email a assistenzaclienti.it@axpo.com o via PEC utilizzando l'apposito template messo a disposizione dal Fornitore e scaricabile dal sito internet. Nel caso di recesso per cambio venditore il Cliente rilascia al Fornitore apposita procura a recedere in suo nome e per suo conto dal contratto di fornitura con il fornitore uscente. Nel caso in cui intenda cambiare fornitore, il Cliente domestico può recedere in qualunque momento e senza oneri dal Contratto. Il nuovo fornitore è tenuto all'invio di apposita comunicazione al Sistema Informativo Integrato - SII Nel caso di recesso per motivi diversi dal cambio fornitore (ad esempio per disattivazione del punto), il Cliente invierà comunicazione di recesso nelle forme e con le modalità previste dall'articolo 20 (comunicazioni) al Fornitore. Qualora comunicato entro il giorno 10 del mese di fornitura (mese M), lo switching sarà efficace a partire dal primo giorno del mese successivo (mese M+1). In caso di switching comunicato oltre il giorno 10 del mese di fornitura (mese M), il recesso sarà efficace a partire dal primo giorno del secondo mese di fornitura successivo (M+2). In ogni caso il Fornitore ha facoltà di recedere dal Contratto, per qualunque motivo, dandone comunicazione al Cliente mediante raccomandata, con un termine di preavviso non inferiore a 6 (sei) mesi.;01;04;Il Contratto ha durata indeterminata;02;;;;;;;;;;;;;;;;;;;;;;;
01141160992;000099DSFML01XXPULSEEFIX00042307;03;01;01;99;Pulsee Luce e Gas Relax Dual Fix;Offerta a prezzo fisso, ideale per un utilizzo dell'energia durante tutta la giornata, senza orari particolari, con la comodità di gestire luce e gas con un unico fornitore. L'energia fornita alla tua abitazione sarà valorizzata applicando ai tuoi consumi il prezzo fisso definito nell'offerta e invariabile per 12 mesi di fornitura. A partire dal 13 mese al prezzo della Componente Energia sarà applicato il valore della media aritmetica mensile dei valori orari del PUN  in riferimento alle ore che costituiscono ciascuna fascia, maggiorato di un corrispettivo a copertura delle attività sul mercato all���ingrosso definito dal Fornitore nell'offerta. Il ���PUN Medio Fasce��� sarà determinato per ognuna delle fasce F1, F2, F3 (o F2-3) come media aritmetica mensile dei valori orari del PUN, come pubblicati sul sito del GME S.p.A., nelle ore che costituiscono ciascuna fascia (es. per la fascia F1, dalle 8 alle 19 dei giorni dal lunedì al venerdì non festivi, verranno sommati i valori orari del PUN e la somma risultante verrà divisa per il numero di ore mensili della fascia F1 nel mese). Al prezzo della Componente Gas sarà applicato il valore della media aritmetica dell���indice PSBIL nel mese di riferimento, maggiorato di un corrispettivo a copertura delle attività sul mercato all���ingrosso definito dal Fornitore nell'offerta. Il PSBIL, ���Prezzo di sbilanciamento giornaliero in acquisto���, è definito all���art. 5 dell���Allegato A alla deliberazione 312/2016/R/gas e s.m.i. - Testo Integrato del Bilanciamento ��� e calcolato con riferimento ai dati funzionali alla determinazione del prezzo di sbilanciamento pubblicati sul Sito Internet del Gestore dei Mercati Energetici www.mercatoelettrico.org. Tale prezzo è adeguato in fattura al PCS della località nella quale si trova la fornitura, in funzione del parametro PCS (GJ/Smc) standard pari a 0,03852 GJ/Smc. Incluso nell'offerta servizio di assistenza dedicata tramite numero verde, Facebook Messenger e Whatsapp.;-1;nessuna;01;05;99;Comparison,Call Center;800620520;https://www.pulsee.it;https://pulsee.it/offerte-casa-luce-gas/luce-gas-relax;;11/07/2023_12:00:00;05/08/2023_11:59:59;000099ESFML07XXPULSEEFIX84902307;000099GSFML07XXPULSEEFIX84912307;03;01;01;La data di attivazione della fornitura verrà indicata sulla lettera di benvenuto (welcome letter) che verrà inviata al cliente entro 40 giorni dalla sottoscrizione La fornitura di Energia Elettrica e/o di Gas Naturale è condizionata all'attivazione da parte dei soggetti competenti dei servizi di trasporto e dispacciamento dell'Energia Elettrica e/o di trasporto e di distribuzione del Gas Naturale e avviene compatibilmente con l'intervenuta efficacia dei recessi del Cliente verso precedenti fornitori.;01;02;In caso di recesso esercitato per disattivazione del punto di prelievo, sia per energia elettrica che gas naturale il Cliente è tenuto a inviare al fornitore comunicazione scritta a mezzo raccomandata con un preavviso di almeno 1 (uno) mese i rispetto alla decorrenza della disattivazione;01;03;il Cliente può esercitare il diritto di recesso per ripensamento entro 14 giorni dalla data di conclusione del contratto, anche per una sola fornitura, dandone comunicazione al Fornitore a mezzo lettera raccomandata AR, via email a assistenzaclienti.it@axpo.com o via PEC utilizzando l'apposito template messo a disposizione dal Fornitore e scaricabile dal sito internet. Nel caso di recesso per cambio venditore il Cliente rilascia al Fornitore apposita procura a recedere in suo nome e per suo conto dal contratto di fornitura con il fornitore uscente. Nel caso in cui intenda cambiare fornitore, il Cliente domestico può recedere in qualunque momento e senza oneri dal Contratto. Il nuovo fornitore è tenuto all'invio di apposita comunicazione al Sistema Informativo Integrato - SII Nel caso di recesso per motivi diversi dal cambio fornitore (ad esempio per disattivazione del punto), il Cliente invierà comunicazione di recesso nelle forme e con le modalità previste dall'articolo 20 (comunicazioni) al Fornitore. Qualora comunicato entro il giorno 10 del mese di fornitura (mese M), lo switching sarà efficace a partire dal primo giorno del mese successivo (mese M+1). In caso di switching comunicato oltre il giorno 10 del mese di fornitura (mese M), il recesso sarà efficace a partire dal primo giorno del secondo mese di fornitura successivo (M+2). In ogni caso il Fornitore ha facoltà di recedere dal Contratto, per qualunque motivo, dandone comunicazione al Cliente mediante raccomandata, con un termine di preavviso non inferiore a 6 (sei) mesi.;01;04;Il Contratto ha durata indeterminata;02;;;;;;;;;;;;;;;;;;;;;;;
06289781004;001714DSFFL01XXENPFS000010000000;03;01;01;01;Energia PuntoFisso;Il prezzo più conveniente di ENGIE solo per i clienti web;-1;Domiciliazione obbligatoria;;;;;800901199;https://casa.engie.it;https://casa.engie.it;;26/07/2023_00:00:00;08/08/2023_23:59:00;001714ESFFL01XXENPFS000010000000;001714GSFML01XXENPFS000010000000;;;;;;;;;;;;;;;03;01;01;04;Offerta Pluriennale;02;;;;;;;;;;;;;;;;;
06289781004;001714DPFFL60XXOMBRA000600000000;03;01;01;01;PRODOTTO OMBRELLO;PRODOTTO OMBRELLO;-1;NESSUNA GARANZIA;;;;;800901199;https://casa.engie.it;https://casa.engie.it;;20/07/2023_00:00:00;30/11/2023_00:00:00;001714EPFFL60XXOMBRA000600000000;001714GPFML60XXOMBRA000600000000;04;02;;;;;;;;;;;;;03;02;;04;Offerta Pluriennale;02;01;;;;;;;;;;;;;;;;
06289781004;001714DPFML32XXE3M12000320000000;03;01;01;01;Energia 3.0 Light MONO;Il prezzo più conveniente di ENGIE solo per i clienti web;-1;Domiciliazione obbligatoria;;;;;800901199;https://casa.engie.it;https://casa.engie.it;;20/07/2023_00:00:00;15/10/2023_00:00:00;001714EPFML32XXE3M12000320000000;001714GPFML32XXE3M12000320000000;;;;;;;;;;;;;;;03;02;01;04;Offerta Pluriennale;02;;;;;;;;;;;;;;;;;
06289781004;001714DNVFL10XXD2DEX000100000000;03;01;02;01;Energia Agile;Energia Agile;-1;Domiciliazione obbligatoria;;;;;800901199;https://casa.engie.it;https://casa.engie.it;12;20/07/2023_00:00:00;15/10/2023_00:00:00;001714EPVFL10XXD2DEX000100000000;001714GPVML10XXD2DEX000100000000;;;;;;;;;;;;;;;03;02;01;04;Offerta Pluriennale;02;;;;;;;;;;;;;;;;;
06289781004;001714DPFFL70XXEN3P0000700000000;03;01;01;01;Energia 3.0;Prezzo conveniente, spesa pianificata, no maxi conguaglio;-1;Domiciliazione obbligatoria;;;;;800901199;https://casa.engie.it;https://casa.engie.it;;20/07/2023_00:00:00;15/10/2023_00:00:00;001714EPFFL70XXEN3P0000700000000;001714GPFML70XXEN3P0000700000000;;;;;;;;;;;;;;;03;02;01;04;Offerta Pluriennale;02;;;;;;;;;;;;;;;;;
