IdentificativiOfferta_PIVA_UTENTE;IdentificativiOfferta_COD_OFFERTA;DettaglioOfferta_TIPO_MERCATO;DettaglioOfferta_TIPO_CLIENTE;DettaglioOfferta_DOMESTICO_RESIDENTE;DettaglioOfferta_TIPO_OFFERTA;DettaglioOfferta_TIPOLOGIA_ATT_CONTR_0;DettaglioOfferta_TIPOLOGIA_ATT_CONTR_1;DettaglioOfferta_TIPOLOGIA_ATT_CONTR_2;DettaglioOfferta_NOME_OFFERTA;DettaglioOfferta_DESCRIZIONE;DettaglioOfferta_DURATA;DettaglioOfferta_GARANZIE;DettaglioOfferta_ModalitaAttivazione_MODALITA;DettaglioOfferta_Contatti_TELEFONO;DettaglioOfferta_Contatti_URL_SITO_VENDITORE;DettaglioOfferta_Contatti_URL_OFFERTA;RiferimentiPrezzoEnergia_IDX_PREZZO_ENERGIA;ValiditaOfferta_DATA_INIZIO;ValiditaOfferta_DATA_FINE;OffertaDual_OFFERTE_CONGIUNTE_EE;OffertaDual_OFFERTE_CONGIUNTE_GAS;MetodoPagamento_0_MODALITA_PAGAMENTO;MetodoPagamento_1_MODALITA_PAGAMENTO;MetodoPagamento_1_DESCRIZIONE;MetodoPagamento_2_MODALITA_PAGAMENTO;MetodoPagamento_3_MODALITA_PAGAMENTO;CondizioniContrattuali_TIPOLOGIA_CONDIZIONE;CondizioniContrattuali_DESCRIZIONE;CondizioniContrattuali_LIMITANTE;Sconto_NOME;Sconto_DESCRIZIONE;Sconto_VALIDITA;Sconto_IVA_SCONTO;Sconto_Condizione_CONDIZIONE_APPLICAZIONE;Sconto_Condizione_DESCRIZIONE_CONDIZIONE;Sconto_PrezziSconto_TIPOLOGIA;Sconto_PrezziSconto_UNITA_MISURA;Sconto_PrezziSconto_PREZZO;DettaglioOfferta_TIPOLOGIA_ATT_CONTR;DettaglioOfferta_ModalitaAttivazione_MODALITA_0;DettaglioOfferta_ModalitaAttivazione_MODALITA_1;DettaglioOfferta_ModalitaAttivazione_MODALITA_2;DettaglioOfferta_ModalitaAttivazione_DESCRIZIONE;CondizioniContrattuali_0_TIPOLOGIA_CONDIZIONE;CondizioniContrattuali_0_DESCRIZIONE;CondizioniContrattuali_0_LIMITANTE;CondizioniContrattuali_1_TIPOLOGIA_CONDIZIONE;CondizioniContrattuali_1_DESCRIZIONE;CondizioniContrattuali_1_LIMITANTE;CondizioniContrattuali_2_TIPOLOGIA_CONDIZIONE;CondizioniContrattuali_2_DESCRIZIONE;CondizioniContrattuali_2_LIMITANTE;CondizioniContrattuali_3_TIPOLOGIA_CONDIZIONE;CondizioniContrattuali_3_DESCRIZIONE;CondizioniContrattuali_3_LIMITANTE;MetodoPagamento_MODALITA_PAGAMENTO;MetodoPagamento_3_DESCRIZIONE
03386091205;023912DSVFL01XX-2308AGILEECOLELR;03;01;03;02;01;02;03;Accendi Casa AGILE ECOLOGICA Luce e Gas;L'offerta "Accendi Casa Agile Ecologica Luce e Gas" e' dedicata al Cliente finale domestico titolare di un contatore luce e di un contatore gas per Uso Domestico. Si tratta di un'offerta a prezzo variabile e il costo della materia prima segue l'andamento del mercato all'ingrosso. Questa offerta garantisce al Cliente che tutta l���energia dallo stesso consumata provenga da fonti rinnovabili, mediante l���acquisto e annullamento delle Garanzie di origine in conformit�� alla delibera ARERA ARG/elt 104/11 s.s.m.i., e per il gas naturale di compensare le emissioni di CO2 tramite l'acquisto di certificati VERs (Voluntary Emission Reductions). I certificati di compensazione VERs (Voluntary Emission Reductions) vengono acquistati a copertura dell'interno fabbisogno annuale di gas naturale del Cliente. I certificati di compensazione VERs finanziano progetti di sostenibilit��, che hanno l���obiettivo di compensare la CO2 emessa nell���ambiente producendo combustibili rinnovabili come il BioGas, ovvero il gas prodotto dalla fermentazione di rifiuti organici. In riferimento alla fornitura luce il valore del corrispettivo a copertura degli oneri netti di approvvigionamento della capacita' e' indicato nella Quota Energia all'interno della Materia prima energia al lordo delle perdite di rete, ed e' pari a quello stabilito dall'ARERA per i clienti del servizio di maggior tutela. Tale corrispettivo sara' ulteriormente maggiorato di un importo pari alle perdite (attualmente del 10%). Tale percentuale di maggiorazione e il corrispettivo stesso seguiranno gli eventuali aggiornamenti previsti da Arera.;12;Zero costi di attivazione e recesso. Zero costi spedizione bolletta. Nessuna garanzia di pagamento se sei Socio Coop Alleanza 3.0 o Unicoop Tirreno o Coop Reno oppure hai scelto come modalit�� di pagamento l���addebito bancario/postale SDD e l���allineamento verso la banca abbia avuto esito positivo e non vi siano insoluti a tuo carico. Se non sei Socio Coop Alleanza 3.0 o Unicoop Tirreno o Coop Reno e non hai scelto come modalit�� di pagamento l���addebito bancario/postale SDD,  o pur avendola scelta, vi siano insoluti a tuo carico oppure l���allineamento verso la banca ha avuto esito negativo non facendo risultare attivo l���addebito ci saranno 25��� di garanzia di pagamento;02;800208468;https://www.accendilucegas.it;https://www.accendilucegas.it;12;01/08/2023_00:00:00;31/08/2023_23:59:59;023912DSVFL01XX-2308AGILEECOLELD;023912DSVML01XX-2308AGILEECOLGND;04;99;Cessione del credito;02;01;04;Le presenti condizioni tecniche economiche saranno considerate valide per 12 mesi decorrenti dalla data di attivazione della fornitura. Qualora ALG, entro la scadenza dei 12 mesi, non abbia inviato al cliente alcuna nuova proposta le presenti condizioni tecniche economiche si intenderanno prorogate per altri 12 mesi, e cos�� sempre in assenza di alcuna nuova proposta, di 12 mesi in 12 mesi per tutta la durata del contratto. Per tutti i dettagli si prega di consultare la documentazione contrattuale disponibile sul sito o prima della sottoscrizione dell���offerta;02;Cessione del credito Coop Alleanza 3.0;Sconto applicato qualora il pagamento della bolletta avvenga mediante la cessione del credito e sia operata la compensazione sul libretto sociale di prestito di Coop Alleanza 3.0;03;01;99;Sconto applicato qualora il pagamento della bolletta avvenga mediante la cessione del credito e sia operata la compensazione sul libretto sociale di prestito di Coop Alleanza 3.0;01;01;6;;;;;;;;;;;;;;;;;;;
03386091205;023912DPVFL01XX-2308AGILEVERDELR;03;01;03;02;01;02;03;Accendi AGILE VERDE Luce e Gas 12 mesi;L'offerta "Accendi AGILE VERDE Luce e Gas 12 mesi" e' dedicata al Cliente finale domestico titolare di un contatore luce e di un contatore gas per Uso Domestico. Si tratta di un' offerta a prezzo variabile e il costo della materia prima segue l'andamento del mercato all'ingrosso. Questa offerta garantisce al Cliente che tutta l���energia dallo stesso consumata provenga da fonti rinnovabili, mediante l���acquisto e annullamento delle Garanzie di origine in conformit�� alla delibera ARERA ARG/elt 104/11 s.s.m.i.,  e per il gas naturale di compensare le emissioni di CO2 tramite l'acquisto di certificati VERs (Voluntary Emission Reductions). I certificati di compensazione VERs (Voluntary Emission Reductions) vengono acquistati a copertura dell'interno fabbisogno annuale di gas naturale del Cliente. I certificati di compensazione VERs finanziano progetti di sostenibilit��, che hanno l���obiettivo di compensare la CO2 emessa nell���ambiente producendo combustibili rinnovabili come il BioGas, ovvero il gas prodotto dalla fermentazione di rifiuti organici. In riferimento alla fornitura luce il valore del corrispettivo a copertura degli oneri netti di approvvigionamento della capacita' e' indicato nella Quota Energia all'interno della Materia prima energia al lordo delle perdite di rete, ed e' pari a quello stabilito dall'ARERA per i clienti del servizio di maggior tutela. Tale corrispettivo sara' ulteriormente maggiorato di un importo pari alle perdite (attualmente del 10%). Tale percentuale di maggiorazione e il corrispettivo stesso seguiranno gli eventuali aggiornamenti previsti da Arera.;12;Zero costi di attivazione e recesso. Zero costi spedizione bolletta. Nessuna garanzia di pagamento se sei Socio Coop Alleanza 3.0 o Unicoop Tirreno o Coop Reno oppure hai scelto come modalit�� di pagamento l���addebito bancario/postale SDD e l���allineamento verso la banca abbia avuto esito positivo e non vi siano insoluti a tuo carico. Se non sei Socio Coop Alleanza 3.0 o Unicoop Tirreno o Coop Reno e non hai scelto come modalit�� di pagamento l���addebito bancario/postale SDD,  o pur avendola scelta, vi siano insoluti a tuo carico oppure l���allineamento verso la banca ha avuto esito negativo non facendo risultare attivo l���addebito ci saranno 25��� di garanzia di pagamento;02;800208468;https://www.accendilucegas.it;;12;01/08/2023_00:00:00;30/11/2023_23:59:59;023912DPVFL01XX-2308AGILEVERDELD;023912DPVML01XX-2308AGILEVERDGND;04;99;Cessione del credito;02;01;04;Le presenti condizioni tecniche economiche saranno considerate valide per 12 mesi decorrenti dalla data di attivazione della fornitura. Qualora ALG, entro la scadenza dei 12 mesi, non abbia inviato al cliente alcuna nuova proposta le presenti condizioni tecniche economiche si intenderanno prorogate per altri 12 mesi, e cos�� sempre in assenza di alcuna nuova proposta, di 12 mesi in 12 mesi per tutta la durata del contratto. Per tutti i dettagli si prega di consultare la documentazione contrattuale disponibile sul sito o prima della sottoscrizione dell���offerta;02;Cessione del credito Coop Alleanza 3.0;Sconto applicato qualora il pagamento della bolletta avvenga mediante la cessione del credito e sia operata la compensazione sul libretto sociale di prestito di Coop Alleanza 3.0;03;01;99;Sconto applicato qualora il pagamento della bolletta avvenga mediante la cessione del credito e sia operata la compensazione sul libretto sociale di prestito di Coop Alleanza 3.0;01;01;6;;;;;;;;;;;;;;;;;;;
01141160992;000099DSFML01XXPULSEEFIX00042308;03;01;;01;;;;Pulsee Luce e Gas Relax Dual Fix;Offerta a prezzo fisso, ideale per un utilizzo dell'energia durante tutta la giornata, senza orari particolari, con la comodità di gestire luce e gas con un unico fornitore. L'energia fornita alla tua abitazione sarà valorizzata applicando ai tuoi consumi il prezzo fisso definito nell'offerta e invariabile per 12 mesi di fornitura. A partire dal 13 mese al prezzo della Componente Energia sarà applicato il valore della media aritmetica mensile dei valori orari del PUN  in riferimento alle ore che costituiscono ciascuna fascia, maggiorato di un corrispettivo a copertura delle attività sul mercato all���ingrosso definito dal Fornitore nell'offerta. Il ���PUN Medio Fasce��� sarà determinato per ognuna delle fasce F1, F2, F3 (o F2-3) come media aritmetica mensile dei valori orari del PUN, come pubblicati sul sito del GME S.p.A., nelle ore che costituiscono ciascuna fascia (es. per la fascia F1, dalle 8 alle 19 dei giorni dal lunedì al venerdì non festivi, verranno sommati i valori orari del PUN e la somma risultante verrà divisa per il numero di ore mensili della fascia F1 nel mese). Al prezzo della Componente Gas sarà applicato il valore della media aritmetica dell���indice PSBIL nel mese di riferimento, maggiorato di un corrispettivo a copertura delle attività sul mercato all���ingrosso definito dal Fornitore nell'offerta. Il PSBIL, ���Prezzo di sbilanciamento giornaliero in acquisto���, è definito all���art. 5 dell���Allegato A alla deliberazione 312/2016/R/gas e s.m.i. - Testo Integrato del Bilanciamento ��� e calcolato con riferimento ai dati funzionali alla determinazione del prezzo di sbilanciamento pubblicati sul Sito Internet del Gestore dei Mercati Energetici www.mercatoelettrico.org. Tale prezzo è adeguato in fattura al PCS della località nella quale si trova la fornitura, in funzione del parametro PCS (GJ/Smc) standard pari a 0,03852 GJ/Smc. Incluso nell'offerta servizio di assistenza dedicata tramite numero verde, Facebook Messenger e Whatsapp.;-1;nessuna;;800620520;https://www.pulsee.it;https://pulsee.it/offerte-casa-luce-gas/luce-gas-relax;;06/08/2023_12:00:00;05/09/2023_11:59:59;000099ESFML08XXPULSEEFIX93282308;000099GSFML08XXPULSEEFIX93312308;01;03;;;;;;;;;;;;;;;;99;01;05;99;Comparison,Call Center;01;La data di attivazione della fornitura verrà indicata sulla lettera di benvenuto (welcome letter) che verrà inviata al cliente entro 40 giorni dalla sottoscrizione La fornitura di Energia Elettrica e/o di Gas Naturale è condizionata all'attivazione da parte dei soggetti competenti dei servizi di trasporto e dispacciamento dell'Energia Elettrica e/o di trasporto e di distribuzione del Gas Naturale e avviene compatibilmente con l'intervenuta efficacia dei recessi del Cliente verso precedenti fornitori.;01;02;In caso di recesso esercitato per disattivazione del punto di prelievo, sia per energia elettrica che gas naturale il Cliente è tenuto a inviare al fornitore comunicazione scritta a mezzo raccomandata con un preavviso di almeno 1 (uno) mese i rispetto alla decorrenza della disattivazione;01;03;il Cliente può esercitare il diritto di recesso per ripensamento entro 14 giorni dalla data di conclusione del contratto, anche per una sola fornitura, dandone comunicazione al Fornitore a mezzo lettera raccomandata AR, via email a assistenzaclienti.it@axpo.com o via PEC utilizzando l'apposito template messo a disposizione dal Fornitore e scaricabile dal sito internet. Nel caso di recesso per cambio venditore il Cliente rilascia al Fornitore apposita procura a recedere in suo nome e per suo conto dal contratto di fornitura con il fornitore uscente. Nel caso in cui intenda cambiare fornitore, il Cliente domestico può recedere in qualunque momento e senza oneri dal Contratto. Il nuovo fornitore è tenuto all'invio di apposita comunicazione al Sistema Informativo Integrato - SII Nel caso di recesso per motivi diversi dal cambio fornitore (ad esempio per disattivazione del punto), il Cliente invierà comunicazione di recesso nelle forme e con le modalità previste dall'articolo 20 (comunicazioni) al Fornitore. Qualora comunicato entro il giorno 10 del mese di fornitura (mese M), lo switching sarà efficace a partire dal primo giorno del mese successivo (mese M+1). In caso di switching comunicato oltre il giorno 10 del mese di fornitura (mese M), il recesso sarà efficace a partire dal primo giorno del secondo mese di fornitura successivo (M+2). In ogni caso il Fornitore ha facoltà di recedere dal Contratto, per qualunque motivo, dandone comunicazione al Cliente mediante raccomandata, con un termine di preavviso non inferiore a 6 (sei) mesi.;01;04;Il Contratto ha durata indeterminata;02;;
01141160992;000099DSVML01XXPULSEEIDX00012308;03;01;;02;;;;Pulsee Luce e Gas Relax Dual Index;Offerta a prezzo indicizzato, ideale per un utilizzo dell'energia durante tutta la giornata, senza orari particolari, con la comodità di gestire luce e gas con un unico fornitore. L'energia fornita alla tua abitazione sarà valorizzata applicando ai tuoi consumi il prezzo indicizzato definito nell'offerta. L'energia elettrica sarà 100% prodotta da fonti rinnovabili Gli altri corrispettivi potranno subire indicizzazioni e/o variazioni in base a provvedimenti dell'ARERA. Incluso nell'offerta servizio di assistenza dedicata tramite numero verde, Facebook Messenger e Whatsapp;-1;nessuna;;800620520;https://www.pulsee.it;https://pulsee.it/offerte-casa-luce-gas/luce-gas-relax?tipologia-prezzo=prezzo-indicizzato;01;06/08/2023_12:00:00;05/09/2023_11:59:59;000099DSVML08XXPULSEEPUB93712308;000099DSVML08XXPULSEEPGA93532308;01;03;;;;;;;;;;;;;;;;99;01;05;99;Comparison,Call Center;01;La data di attivazione della fornitura verrà indicata sulla lettera di benvenuto (welcome letter) che verrà inviata al cliente entro 40 giorni dalla sottoscrizione La fornitura di Energia Elettrica e/o di Gas Naturale è condizionata all'attivazione da parte dei soggetti competenti dei servizi di trasporto e dispacciamento dell'Energia Elettrica e/o di trasporto e di distribuzione del Gas Naturale e avviene compatibilmente con l'intervenuta efficacia dei recessi del Cliente verso precedenti fornitori.;01;02;In caso di recesso esercitato per disattivazione del punto di prelievo, sia per energia elettrica che gas naturale il Cliente è tenuto a inviare al fornitore comunicazione scritta a mezzo raccomandata con un preavviso di almeno 1 (uno) mese i rispetto alla decorrenza della disattivazione;01;03;il Cliente può esercitare il diritto di recesso per ripensamento entro 14 giorni dalla data di conclusione del contratto, anche per una sola fornitura, dandone comunicazione al Fornitore a mezzo lettera raccomandata AR, via email a assistenzaclienti.it@axpo.com o via PEC utilizzando l'apposito template messo a disposizione dal Fornitore e scaricabile dal sito internet. Nel caso di recesso per cambio venditore il Cliente rilascia al Fornitore apposita procura a recedere in suo nome e per suo conto dal contratto di fornitura con il fornitore uscente. Nel caso in cui intenda cambiare fornitore, il Cliente domestico può recedere in qualunque momento e senza oneri dal Contratto. Il nuovo fornitore è tenuto all'invio di apposita comunicazione al Sistema Informativo Integrato - SII Nel caso di recesso per motivi diversi dal cambio fornitore (ad esempio per disattivazione del punto), il Cliente invierà comunicazione di recesso nelle forme e con le modalità previste dall'articolo 20 (comunicazioni) al Fornitore. Qualora comunicato entro il giorno 10 del mese di fornitura (mese M), lo switching sarà efficace a partire dal primo giorno del mese successivo (mese M+1). In caso di switching comunicato oltre il giorno 10 del mese di fornitura (mese M), il recesso sarà efficace a partire dal primo giorno del secondo mese di fornitura successivo (M+2). In ogni caso il Fornitore ha facoltà di recedere dal Contratto, per qualunque motivo, dandone comunicazione al Cliente mediante raccomandata, con un termine di preavviso non inferiore a 6 (sei) mesi.;01;04;Il Contratto ha durata indeterminata;02;;
01141160992;000099DSVML01XXPULSEELIM00002308;03;01;;02;;;;Pulsee Limit.e Dual Index;Attivando il nuovo prodotto LIMIT.E ti proteggiamo dai rincari del mercato, fissando un tetto al prezzo della tua materia energia per i primi 12 mesi. Con la formula indicizzato, potrai godere dei momenti di ribasso del mercato con la sicurezza che non pagherai oltre il valore limit.e indicato in fase di attivazione. Ideale per un utilizzo dell'energia durante tutta la giornata, senza orari particolari. L'energia fornita alla tua abitazione sarà 100% prodotta da fonti rinnovabili e valorizzata applicando ai tuoi consumi il prezzo indicizzato definito nell'offerta. Gli altri corrispettivi potranno subire indicizzazioni e/o variazioni in base a provvedimenti dell'ARERA. Incluso nell'offerta servizio di assistenza dedicata tramite numero verde, Facebook Messenger e Whatsapp.;-1;nessuna;;800620520;https://www.pulsee.it;https://pulsee.it/offerte-casa-luce-gas/;01;06/08/2023_12:00:00;05/09/2023_11:59:59;000099DSVML08XXPULSEEPUB93842308;000099DSVML08XXPULSEEPGA93532308;01;03;;;;;;;;;;;;;;;;99;01;05;99;Comparison,Call Center;01;La data di attivazione della fornitura verrà indicata sulla lettera di benvenuto (welcome letter) che verrà inviata al cliente entro 40 giorni dalla sottoscrizione La fornitura di Energia Elettrica e/o di Gas Naturale è condizionata all'attivazione da parte dei soggetti competenti dei servizi di trasporto e dispacciamento dell'Energia Elettrica e/o di trasporto e di distribuzione del Gas Naturale e avviene compatibilmente con l'intervenuta efficacia dei recessi del Cliente verso precedenti fornitori.;01;02;In caso di recesso esercitato per disattivazione del punto di prelievo, sia per energia elettrica che gas naturale il Cliente è tenuto a inviare al fornitore comunicazione scritta a mezzo raccomandata con un preavviso di almeno 1 (uno) mese i rispetto alla decorrenza della disattivazione;01;03;il Cliente può esercitare il diritto di recesso per ripensamento entro 14 giorni dalla data di conclusione del contratto, anche per una sola fornitura, dandone comunicazione al Fornitore a mezzo lettera raccomandata AR, via email a assistenzaclienti.it@axpo.com o via PEC utilizzando l'apposito template messo a disposizione dal Fornitore e scaricabile dal sito internet. Nel caso di recesso per cambio venditore il Cliente rilascia al Fornitore apposita procura a recedere in suo nome e per suo conto dal contratto di fornitura con il fornitore uscente. Nel caso in cui intenda cambiare fornitore, il Cliente domestico può recedere in qualunque momento e senza oneri dal Contratto. Il nuovo fornitore è tenuto all'invio di apposita comunicazione al Sistema Informativo Integrato - SII Nel caso di recesso per motivi diversi dal cambio fornitore (ad esempio per disattivazione del punto), il Cliente invierà comunicazione di recesso nelle forme e con le modalità previste dall'articolo 20 (comunicazioni) al Fornitore. Qualora comunicato entro il giorno 10 del mese di fornitura (mese M), lo switching sarà efficace a partire dal primo giorno del mese successivo (mese M+1). In caso di switching comunicato oltre il giorno 10 del mese di fornitura (mese M), il recesso sarà efficace a partire dal primo giorno del secondo mese di fornitura successivo (M+2). In ogni caso il Fornitore ha facoltà di recedere dal Contratto, per qualunque motivo, dandone comunicazione al Cliente mediante raccomandata, con un termine di preavviso non inferiore a 6 (sei) mesi.;01;04;Il Contratto ha durata indeterminata;02;;
01141160992;000099DSFML01XXPULSEEFIX00022308;03;01;;01;;;;Pulsee Luce e Gas Per Te Dual Fix;Offerta a prezzo fisso, ideale per un utilizzo prevalente dell'energia elettrica durante la sera e i weekend, con la comodità di gestire luce e gas con un unico fornitore. L'energia fornita alla tua abitazione sarà valorizzata applicando ai tuoi consumi il prezzo fisso definito nell'offerta e invariabile per 24 mesi di fornitura. A partire dal 25 mese al prezzo della Componente Energia sarà applicato il valore della media aritmetica mensile dei valori orari del PUN  in riferimento alle ore che costituiscono ciascuna fascia, maggiorato di un corrispettivo a copertura delle attività sul mercato all���ingrosso definito dal Fornitore nell'offerta. Il ���PUN Medio Fasce��� sarà determinato per ognuna delle fasce F1, F2, F3 (o F2-3) come media aritmetica mensile dei valori orari del PUN, come pubblicati sul sito del GME S.p.A., nelle ore che costituiscono ciascuna fascia (es. per la fascia F1, dalle 8 alle 19 dei giorni dal lunedì al venerdì non festivi, verranno sommati i valori orari del PUN e la somma risultante verrà divisa per il numero di ore mensili della fascia F1 nel mese). Al prezzo della Componente Gas sarà applicato il valore della media aritmetica dell���indice PSBIL nel mese di riferimento, maggiorato di un corrispettivo a copertura delle attività sul mercato all���ingrosso definito dal Fornitore nell'offerta. Il PSBIL, ���Prezzo di sbilanciamento giornaliero in acquisto���, è definito all���art. 5 dell���Allegato A alla deliberazione 312/2016/R/gas e s.m.i. - Testo Integrato del Bilanciamento ��� e calcolato con riferimento ai dati funzionali alla determinazione del prezzo di sbilanciamento pubblicati sul Sito Internet del Gestore dei Mercati Energetici www.mercatoelettrico.org. Tale prezzo è adeguato in fattura al PCS della località nella quale si trova la fornitura, in funzione del parametro PCS (GJ/Smc) standard pari a 0,03852 GJ/Smc. Incluso nell'offerta servizio di assistenza dedicata tramite numero verde, Facebook Messenger e Whatsapp.;-1;nessuna;;800620520;https://www.pulsee.it;https://pulsee.it/offerte-casa-luce-gas/luce-gas-per-te;;06/08/2023_12:00:00;05/09/2023_11:59:59;000099ESFFL08XXPULSEEFIX93322308;000099GSFML08XXPULSEEFIX93332308;01;03;;;;;;;;;;;;;;;;99;01;05;99;Comparison,Call Center;01;La data di attivazione della fornitura verrà indicata sulla lettera di benvenuto (welcome letter) che verrà inviata al cliente entro 40 giorni dalla sottoscrizione La fornitura di Energia Elettrica e/o di Gas Naturale è condizionata all'attivazione da parte dei soggetti competenti dei servizi di trasporto e dispacciamento dell'Energia Elettrica e/o di trasporto e di distribuzione del Gas Naturale e avviene compatibilmente con l'intervenuta efficacia dei recessi del Cliente verso precedenti fornitori.;01;02;In caso di recesso esercitato per disattivazione del punto di prelievo, sia per energia elettrica che gas naturale il Cliente è tenuto a inviare al fornitore comunicazione scritta a mezzo raccomandata con un preavviso di almeno 1 (uno) mese i rispetto alla decorrenza della disattivazione;01;03;il Cliente può esercitare il diritto di recesso per ripensamento entro 14 giorni dalla data di conclusione del contratto, anche per una sola fornitura, dandone comunicazione al Fornitore a mezzo lettera raccomandata AR, via email a assistenzaclienti.it@axpo.com o via PEC utilizzando l'apposito template messo a disposizione dal Fornitore e scaricabile dal sito internet. Nel caso di recesso per cambio venditore il Cliente rilascia al Fornitore apposita procura a recedere in suo nome e per suo conto dal contratto di fornitura con il fornitore uscente. Nel caso in cui intenda cambiare fornitore, il Cliente domestico può recedere in qualunque momento e senza oneri dal Contratto. Il nuovo fornitore è tenuto all'invio di apposita comunicazione al Sistema Informativo Integrato - SII Nel caso di recesso per motivi diversi dal cambio fornitore (ad esempio per disattivazione del punto), il Cliente invierà comunicazione di recesso nelle forme e con le modalità previste dall'articolo 20 (comunicazioni) al Fornitore. Qualora comunicato entro il giorno 10 del mese di fornitura (mese M), lo switching sarà efficace a partire dal primo giorno del mese successivo (mese M+1). In caso di switching comunicato oltre il giorno 10 del mese di fornitura (mese M), il recesso sarà efficace a partire dal primo giorno del secondo mese di fornitura successivo (M+2). In ogni caso il Fornitore ha facoltà di recedere dal Contratto, per qualunque motivo, dandone comunicazione al Cliente mediante raccomandata, con un termine di preavviso non inferiore a 6 (sei) mesi.;01;04;Il Contratto ha durata indeterminata;02;;
01141160992;000099DSVML01XXPULSEEIDX00002308;03;01;;02;;;;Pulsee Luce e Gas Per Te Dual Index;Offerta a prezzo indicizzato, ideale per un utilizzo prevalente dell'energia elettrica durante la sera e i weekend, con la comodità di gestire luce e gas con un unico fornitore. L'energia fornita alla tua abitazione sarà valorizzata applicando ai tuoi consumi il prezzo indicizzato definito nell'offerta. L'energia elettrica sarà 100% prodotta da fonti rinnovabili. Gli altri corrispettivi potranno subire indicizzazioni e/o variazioni in base a provvedimenti dell'ARERA. Incluso nell'offerta servizio di assistenza dedicata tramite numero verde, Facebook Messenger e Whatsapp;-1;nessuna;;800620520;https://www.pulsee.it;https://pulsee.it/offerte-casa-luce-gas/luce-gas-per-te?tipologia-prezzo=prezzo-indicizzato;01;06/08/2023_12:00:00;05/09/2023_11:59:59;000099DSVFL08XXPULSEEPUM93702308;000099DSVML08XXPULSEEPGA93542308;01;03;;;;;;;;;;;;;;;;99;01;05;99;Comparison,Call Center;01;La data di attivazione della fornitura verrà indicata sulla lettera di benvenuto (welcome letter) che verrà inviata al cliente entro 40 giorni dalla sottoscrizione La fornitura di Energia Elettrica e/o di Gas Naturale è condizionata all'attivazione da parte dei soggetti competenti dei servizi di trasporto e dispacciamento dell'Energia Elettrica e/o di trasporto e di distribuzione del Gas Naturale e avviene compatibilmente con l'intervenuta efficacia dei recessi del Cliente verso precedenti fornitori.;01;02;In caso di recesso esercitato per disattivazione del punto di prelievo, sia per energia elettrica che gas naturale il Cliente è tenuto a inviare al fornitore comunicazione scritta a mezzo raccomandata con un preavviso di almeno 1 (uno) mese i rispetto alla decorrenza della disattivazione;01;03;il Cliente può esercitare il diritto di recesso per ripensamento entro 14 giorni dalla data di conclusione del contratto, anche per una sola fornitura, dandone comunicazione al Fornitore a mezzo lettera raccomandata AR, via email a assistenzaclienti.it@axpo.com o via PEC utilizzando l'apposito template messo a disposizione dal Fornitore e scaricabile dal sito internet. Nel caso di recesso per cambio venditore il Cliente rilascia al Fornitore apposita procura a recedere in suo nome e per suo conto dal contratto di fornitura con il fornitore uscente. Nel caso in cui intenda cambiare fornitore, il Cliente domestico può recedere in qualunque momento e senza oneri dal Contratto. Il nuovo fornitore è tenuto all'invio di apposita comunicazione al Sistema Informativo Integrato - SII Nel caso di recesso per motivi diversi dal cambio fornitore (ad esempio per disattivazione del punto), il Cliente invierà comunicazione di recesso nelle forme e con le modalità previste dall'articolo 20 (comunicazioni) al Fornitore. Qualora comunicato entro il giorno 10 del mese di fornitura (mese M), lo switching sarà efficace a partire dal primo giorno del mese successivo (mese M+1). In caso di switching comunicato oltre il giorno 10 del mese di fornitura (mese M), il recesso sarà efficace a partire dal primo giorno del secondo mese di fornitura successivo (M+2). In ogni caso il Fornitore ha facoltà di recedere dal Contratto, per qualunque motivo, dandone comunicazione al Cliente mediante raccomandata, con un termine di preavviso non inferiore a 6 (sei) mesi.;01;04;Il Contratto ha durata indeterminata;02;;
06289781004;001714DPFFL04XXE3P12000040000000;03;01;03;01;;;;ENGIE Green People;Ti sei ricordato di portare a casa la nostra energia?;-1;Domiciliazione obbligatoria;02;800901199;https://casa.engie.it;https://casa.engie.it;;20/07/2023_00:00:00;30/11/2023_00:00:00;001714EPFFL04XXE3P12000040000000;001714GPFML04XXE3P12000040000000;;;;;;04;Offerta Pluriennale;02;;;;;;;;;;01;;;;;;;;;;;;;;;;;01;
06289781004;001714DPFFL47XXE3PLR000470000000;03;01;03;01;;;;ENGIE Green People;Ti sei ricordato di portare a casa la nostra energia?;-1;Domiciliazione obbligatoria;02;800901199;https://casa.engie.it;https://casa.engie.it;;20/07/2023_00:00:00;30/11/2023_00:00:00;001714EPFFL47XXE3PLR000470000000;001714GPFML47XXE3PLR000470000000;;;;;;04;Offerta Pluriennale;02;;;;;;;;;;01;;;;;;;;;;;;;;;;;01;
06289781004;001714DPFFL07XXOMB36000070000000;03;01;03;01;;;;PRODOTTO OMBRELLO;PRODOTTO OMBRELLO;-1;NESSUNA GARANZIA;02;800901199;https://casa.engie.it;https://casa.engie.it;;20/07/2023_00:00:00;30/11/2023_00:00:00;001714EPFFL07XXOMB36000070000000;001714GPFML07XXOMB36000070000000;04;02;;01;;04;Offerta Pluriennale;02;;;;;;;;;;01;;;;;;;;;;;;;;;;;;
